complaint,department
The park in front of Ambedkar Park has become a dumping ground for construction debris from nearby buildings.,Parks & Gardens
"Fireworks are being burst well beyond the permitted hours at the bus stop on Church Street, disturbing elderly residents.",Other
An abandoned building on the highway bypass road has become a hotspot for illegal activities at night.,Other
Frequent power cuts on the flyover near Sector 9 are damaging our appliances due to voltage fluctuation.,Electricity
Our entire street on Station Road smells of sewage after the pipeline burst two days ago.,Sewage & Drainage
Please regulate the noise from the DJ played during the wedding function near the church junction till midnight.,Other
There is a dangerous ditch at the railway crossing that is not covered or marked with any warning sign.,Roads & Potholes
Illegal connections to the main sewer line in Phase 2 of Divine Enclave society are causing frequent blockages.,Sewage & Drainage
The garbage truck has not come to near Gandhi Chowk for the last five days and the bins are overflowing.,Garbage Collection
"Only 2 out of 10 poles are working at the railway crossing, the rest have been dark for months.",Street Lighting
The playground Shanti Nagar has been taken over by unauthorized parking of commercial vehicles.,Other
"The road near the market in Old Town market has sunk badly, trucks cannot pass through anymore.",Roads & Potholes
"During the wedding season, frequent power cuts outside the mosque are ruining events for many families.",Electricity
The signal near Sunrise Public School was knocked down by a truck last week and has not been replaced.,Traffic Signals
We request CCTV cameras to be installed on Ring Road due to increasing theft incidents recently.,Other
"Please add more seating at the bus terminus Lakeview Apartments, elderly passengers have to stand for hours.",Public Transport
the park near near the panchayat office is full of garbage and drunkards hang around there at night,Parks & Gardens
"Flies and mosquitoes are breeding in the garbage heap in Nehru Colony, we fear disease outbreak.",Garbage Collection
"Flies and mosquitoes are breeding in the garbage heap close to the fire station, we fear disease outbreak.",Garbage Collection
Passengers are forced to travel on the footboard on the in front of the primary health centre route due to overcrowding.,Public Transport
the light pole near Sector 12 fell down in the storm and nobody came to fix it yet,Street Lighting
Long queues form daily behind the fish market because the signal cycle is poorly timed for the traffic volume.,Traffic Signals
"Sir, our society close to the fire station has not had its garbage picked up for over a week now.",Garbage Collection
Weekend crowds leave the park on Ring Road full of trash by evening with no cleanup afterward.,Parks & Gardens
"our society entrance at the bus stop on Church Street has no light at all after 9pm, security guard cant see anything",Street Lighting
A speed breaker near St. Mary's convent school was built without proper marking and bikers keep falling at night.,Roads & Potholes
"The stormwater drain outside the mosque has been encroached upon, causing flooding every time it rains.",Sewage & Drainage
"The countdown timer at the signal near the panchayat office is broken, drivers don't know when to stop.",Traffic Signals
Residents behind the fish market are suffering from a foul smell due to the choked drainage system.,Sewage & Drainage
Streetlight cables in Rampur village were stolen last week and the area has been dark since.,Street Lighting
"The public garden close to the college gate lacks proper fencing, stray cattle keep entering and damaging plants.",Parks & Gardens
"There is a burning smell coming from the electric pole near the bus depot, please send someone immediately.",Electricity
The solar streetlights Sector 12 stopped charging and remain off every single night now.,Street Lighting
The feeder bus service to the metro station in the industrial area has been discontinued without explanation.,Public Transport
Illegal construction is taking place near the panchayat office without any approved building permit.,Other
please fix the transformer near in front of Ambedkar Park its been making a buzzing noise for days now,Electricity
"During the festival, extra waste was generated but no additional collection was arranged Green Valley Society.",Garbage Collection
"After last night's storm, the traffic light in Old Town market went completely dark and stayed that way.",Traffic Signals
"the dustbin near near the temple is broken and overflowing since many days, plz send a truck",Garbage Collection
The newly laid road on the service road has already started cracking within two months of construction.,Roads & Potholes
We need an additional bus route connecting near St. Mary's convent school to the industrial area for workers.,Public Transport
The signal near the railway crossing near the panchayat office does not sync properly with the gate timings.,Traffic Signals
the drain near outside City Hospital is blocked with plastic and overflowing into our compound,Sewage & Drainage
"traffic light near in Nehru Colony is stuck on red always, cars just ignore it now",Traffic Signals
"After the pipeline repair work in Old Town market, air is coming through the tap instead of water.",Water Supply
"Request pest control services behind the community hall, cockroach and rat infestation has become severe.",Other
The footpath near St. Mary's convent school is broken and pedestrians are forced to walk on the busy road.,Roads & Potholes
"The countdown timer at the signal in front of Ambedkar Park is broken, drivers don't know when to stop.",Traffic Signals
"After the wedding function near the temple, huge piles of food waste were left uncollected for days.",Garbage Collection
"Streetlights near the school in Rampur village remain off, making it unsafe for children returning late.",Street Lighting
During the wedding season the water demand increased but supply near the temple has completely stopped.,Water Supply
"Please add more seating at the bus terminus on Station Road, elderly passengers have to stand for hours.",Public Transport
"Overgrown grass and weeds have taken over the garden on the highway bypass road, it hasn't been maintained in months.",Parks & Gardens
During Ganesh festival the water tanker skipped our lane on Ring Road for three days straight.,Water Supply
A major water pipeline has burst near the railway station and water is being wasted on the road. Hope this gets resolved before something bad happens.,Water Supply
"night bus service to near the metro station was stopped suddenly, workers on night shift are struggling now",Public Transport
We need an additional bus route connecting in Old Town market to the industrial area for workers.,Public Transport
The park in front of the primary health centre has become a dumping ground for construction debris from nearby buildings.,Parks & Gardens
"the manhole cover near near St. Mary's convent school is missing since last week, its very risky at night",Sewage & Drainage
Please deploy a suction machine to clear the choked drain near Lotus Apartments before the next rains.,Sewage & Drainage
An accident nearly happened close to the fire station last night because the road was completely dark.,Street Lighting
"Cars turning right at in Old Town market have no dedicated signal, causing frequent near-misses.",Traffic Signals
"pls fix the road asap, near in front of our apartment building it is like a river of mud when it rains",Roads & Potholes
"This is the third complaint about the same pothole in Kalyan Nagar, still nothing has been done.",Roads & Potholes
"The traffic signal near the metro station is hidden behind an overgrown tree, drivers can't see it in time.",Traffic Signals
"Overgrown grass and weeds have taken over the garden Rajpuri village, it hasn't been maintained in months.",Parks & Gardens
there is no signal at the bus stop junction near in Phase 2 of Divine Enclave society and buses just cut across traffic,Traffic Signals
The streetlight transformer in Rampur village has been sparking intermittently for the last two nights.,Electricity
Illegal parking inside the park premises close to the fire station has damaged the lawn badly.,Parks & Gardens
"There is no power backup at the hospital in Nehru Colony during outages, this endangers patients.",Electricity
Senior citizens have no shaded seating area in the park outside City Hospital during hot afternoons.,Parks & Gardens
"our society entrance near the temple has no light at all after 9pm, security guard cant see anything",Street Lighting
The open gym equipment in Rampur village is rusted and some machines are completely non-functional.,Parks & Gardens
Illegal water tapping by a nearby factory is reducing pressure for households Shanti Nagar.,Water Supply
Please deploy a suction machine to clear the choked drain outside City Hospital before the next rains.,Sewage & Drainage
"The park pathway lights in front of Ambedkar Park are all switched off, making evening walks unsafe for elderly people.",Street Lighting
Auto and cab drivers near near the railway station refuse to go by meter and overcharge passengers.,Public Transport
During the festival rush the road near the government hospital got jammed because of the broken surface.,Roads & Potholes
School children near the metro station have no drinking water available during exam days.,Water Supply
"A streetlight wire is exposed and hanging dangerously behind the community hall, risk of electrocution.",Street Lighting
Frequent power cuts in front of the primary health centre are damaging our appliances due to voltage fluctuation.,Electricity
"Beggars and vendors crowd the temple entrance near the panchayat office, making it difficult for devotees to enter.",Other
"Someone is dumping slaughterhouse waste near the park Shanti Nagar, it's extremely unhygienic.",Garbage Collection
The overhead tank in the industrial area overflows every night and wastes thousands of litres of water.,Water Supply
"Sir, we r senior citizens in front of Ambedkar Park and carrying water from far is very hard for us.",Water Supply
Weekend crowds leave the park close to the fire station full of trash by evening with no cleanup afterward.,Parks & Gardens
The footpath in front of Ambedkar Park is broken and pedestrians are forced to walk on the busy road.,Roads & Potholes
Requesting new plantation drive in the park in Phase 2 of Divine Enclave society as many old trees have died recently.,Parks & Gardens
"The bus conductor near the bus depot misbehaved with an elderly passenger, this is unacceptable.",Public Transport
An electrical fault in the traffic signal close to the fire station caused a short circuit spark last evening.,Traffic Signals
"pls fix the road asap, near on the flyover near Sector 9 it is like a river of mud when it rains",Roads & Potholes
Loose gravel and open manholes on the road near the bus depot are extremely dangerous for cyclists.,Roads & Potholes
Traffic signal malfunction near the bus depot led to a minor collision between two cars yesterday.,Traffic Signals
Power was cut near the church junction for maintenance but never restored even after 24 hours.,Electricity
The lighting at the bus stop in front of the primary health centre has failed and commuters wait in complete darkness.,Street Lighting
The market area behind the community hall generates huge waste daily but there is no proper disposal system.,Garbage Collection
The whole colony outside City Hospital has been without power since last evening due to a tripped line.,Electricity
The newly laid road on Station Road has already started cracking within two months of construction.,Roads & Potholes
"Please increase the frequency of water tanker visits to close to the fire station, once a week is not enough.",Water Supply
Senior citizens have no shaded seating area in the park in the slum area behind our society during hot afternoons.,Parks & Gardens
there is no signal at the bus stop junction near near the bus depot and buses just cut across traffic,Traffic Signals
Noise pollution from the loudspeaker at the temple near Gandhi Chowk continues late into the night.,Other
The underground cable near in Rampur village was damaged during road digging and power has been out since.,Electricity
Water supply pipe passing through the drain Lakeview Apartments has cracked and is a serious contamination risk.,Water Supply
There is a dangerous ditch in front of our apartment building that is not covered or marked with any warning sign.,Roads & Potholes
"please add more plants and flowers in the park in front of the primary health centre, it looks very neglected now",Parks & Gardens
The drain outside the hospital near the church junction is overflowing and creating unhygienic surroundings for patients.,Sewage & Drainage
"please add more plants and flowers in the park outside City Hospital, it looks very neglected now",Parks & Gardens
"An open manhole near the panchayat office is extremely dangerous, a child almost fell into it yesterday.",Sewage & Drainage
"After the wedding function on the highway bypass road, huge piles of food waste were left uncollected for days.",Garbage Collection
"The water tanker did not come to Sector 12 for almost a month now, and we have run out of drinking water.",Water Supply
We request CCTV cameras to be installed in Nehru Colony due to increasing theft incidents recently.,Other
Foul smelling gutter water is entering our compound in the slum area behind our society through a cracked pipe.,Sewage & Drainage
Several streetlight poles on the highway bypass road are flickering and going off randomly every night.,Street Lighting
The water supply timing has changed suddenly and nobody informed the residents near the metro station.,Water Supply
Children playing in Nehru Colony are exposed to broken glass and waste scattered on the ground.,Garbage Collection
"Please repair the traffic light near the railway station, it's been blinking yellow for over a month now.",Traffic Signals
"The road leading to the hospital behind the community hall is full of potholes, ambulances struggle to pass.",Roads & Potholes
The streetlight transformer near Sunrise Public School has been sparking intermittently for the last two nights.,Electricity
The road contractor left the work unfinished near the vegetable mandi and now it is worse than before.,Roads & Potholes
The signal near the railway crossing on the flyover near Sector 9 does not sync properly with the gate timings.,Traffic Signals
Sudden power cuts during the exam period in front of the primary health centre are badly affecting students studying at night.,Electricity
"The drainage cover on the flyover near Sector 9 has been broken for months, exposing raw sewage to the open air.",Sewage & Drainage
There have been three accidents this month at the junction in the industrial area due to the faulty signal.,Traffic Signals
An abandoned building in Phase 2 of Divine Enclave society has become a hotspot for illegal activities at night.,Other
"An open drain runs right past the bus stop in front of the primary health centre, commuters have to step over sewage.",Sewage & Drainage
A property dispute has led to an illegal wall being built blocking the common pathway in front of the primary health centre.,Other
"The traffic signal on Ring Road has not been working for almost a month now, causing massive jams.",Traffic Signals
Traffic signal malfunction on the flyover near Sector 9 led to a minor collision between two cars yesterday.,Traffic Signals
The sewage line near St. Mary's convent school has overflowed and dirty water is flooding the street.,Sewage & Drainage
Foul smelling gutter water is entering our compound at the railway crossing through a cracked pipe.,Sewage & Drainage
"The stray dog menace near the metro station needs urgent sterilization drives, they chase morning walkers.",Other
The community bin behind the community hall has been damaged and garbage is spilling onto the footpath.,Garbage Collection
"The ticket counter at in Rampur village station remains closed most mornings, causing long queues.",Public Transport
"pls fix the road asap, near near Lotus Apartments it is like a river of mud when it rains",Roads & Potholes
"The walking track close to the fire station is damaged with cracks, elderly people trip while morning walking.",Parks & Gardens
"The bus stop sign on the highway bypass road has faded completely, new commuters can't identify the stop.",Public Transport
"During the rains, water entered the streetlight fixture behind the fish market and now it sparks dangerously.",Street Lighting
"Contaminated water is coming from the municipal pipeline Sector 12, several people fell sick.",Water Supply
"pls do something, garbage smell is entering our house near on the highway bypass road its disgusting",Garbage Collection
Passengers are forced to travel on the footboard on the near Lotus Apartments route due to overcrowding.,Public Transport
"The stray dog menace Sector 12 needs urgent sterilization drives, they chase morning walkers.",Other
"We request urgent repair of the crater-like pothole on Ring Road, an elderly man fell into it yesterday.",Roads & Potholes
Drivers routinely jump the red light on Station Road because there is no camera or officer present.,Traffic Signals
Frequent breakdowns of the local buses near near the church junction are causing huge delays for commuters.,Public Transport
"During the wedding season, frequent power cuts MG Road are ruining events for many families.",Electricity
During heavy rains the drains near the railway station overflow within minutes causing severe flooding.,Sewage & Drainage
"There is no traffic signal at the busy junction close to the fire station, accidents happen almost every week.",Traffic Signals
"During the heatwave, power cuts Sector 12 have increased to almost 6 hours a day.",Electricity
"The ticket counter at near Sunrise Public School station remains closed most mornings, causing long queues.",Public Transport
Please add a left-turn signal at in front of the primary health centre to reduce the constant congestion during office hours.,Traffic Signals
"Sir, our society in front of Ambedkar Park has not had its garbage picked up for over a week now.",Garbage Collection
Disabled passengers struggle at the bus stop Sector 12 due to lack of ramps or assistance.,Public Transport
"Due to no streetlights near the panchayat office, women feel unsafe walking home after dark.",Street Lighting
"Please clear the blocked drain outside the school in Rampur village, kids are wading through dirty water.",Sewage & Drainage
"There was a loud spark from the transformer outside the mosque last night, we are scared of a fire.",Electricity
Loose gravel and open manholes on the road in the slum area behind our society are extremely dangerous for cyclists.,Roads & Potholes
Several streetlight poles near the government hospital are flickering and going off randomly every night.,Street Lighting
"During the festival, extra waste was generated but no additional collection was arranged on the service road.",Garbage Collection
Trees in the park behind the fish market have not been trimmed and branches are falling during storms.,Parks & Gardens
why is water supply cut every single day near the temple without any notice given to us,Water Supply
"Contaminated water is coming from the municipal pipeline on Ring Road, several people fell sick.",Water Supply
The footpath Shanti Nagar is broken and pedestrians are forced to walk on the busy road.,Roads & Potholes
Repeated patchwork on the road in the slum area behind our society keeps washing away within days of every rain.,Roads & Potholes
Low water pressure Rajpuri village is making it impossible to fill even a bucket. This has become unbearable.,Water Supply
There has been no water supply near St. Mary's convent school since early morning today. Hoping for a quick response.,Water Supply
"The stormwater drain near the metro station has been encroached upon, causing flooding every time it rains.",Sewage & Drainage
We had to buy water cans for a week because the municipal supply MG Road completely dried up.,Water Supply
"Water supply comes only for 10 minutes a day at the bus stop on Church Street, that too with very low pressure.",Water Supply
"Unauthorized hoardings in Nehru Colony are blocking the view at a busy junction, causing safety issues.",Other
"our society entrance near the panchayat office has no light at all after 9pm, security guard cant see anything",Street Lighting
"please add more plants and flowers in the park near the vegetable mandi, it looks very neglected now",Parks & Gardens
The road contractor left the work unfinished in front of the primary health centre and now it is worse than before.,Roads & Potholes
"There is no proper drainage system in front of Ambedkar Park, every monsoon the lane gets waterlogged badly.",Sewage & Drainage
"The cemetery MG Road is overgrown and poorly maintained, families find it hard to visit.",Other
The last bus from behind the fish market was cancelled without any prior notice to commuters.,Public Transport
Children playing at the railway crossing are exposed to broken glass and waste scattered on the ground.,Garbage Collection
The lighting at the bus stop at the bus stop on Church Street has failed and commuters wait in complete darkness.,Street Lighting
the park near Rajpuri village is full of garbage and drunkards hang around there at night,Parks & Gardens
An entire truckload of garbage has been left uncleared near the government hospital since the storm last week.,Garbage Collection
"Please repair the traffic light in Rampur village, it's been blinking yellow for over a month now.",Traffic Signals
"The garbage dump behind the fish market is right next to the school, children have to breathe the stink daily.",Garbage Collection
"Please repair the traffic light at the railway crossing, it's been blinking yellow for over a month now.",Traffic Signals
"The community water tank in Phase 2 of Divine Enclave society has not been cleaned in over a year, it is full of algae.",Water Supply
"Streetlights near the school in Nehru Colony remain off, making it unsafe for children returning late.",Street Lighting
The signal near the railway crossing in the industrial area does not sync properly with the gate timings.,Traffic Signals
Waste water from the sewage treatment plant is leaking into the nearby pond behind the community hall.,Sewage & Drainage
"During the wedding season, frequent power cuts in Phase 2 of Divine Enclave society are ruining events for many families.",Electricity
"Overcrowded buses on the near the vegetable mandi route are becoming unsafe, especially during rush hour.",Public Transport
"Tar has washed away completely from the road in Nehru Colony, only stones remain now.",Roads & Potholes
We are getting muddy and smelly water in our taps near the panchayat office. Please take necessary action.,Water Supply
Children playing Green Valley Society are exposed to broken glass and waste scattered on the ground.,Garbage Collection
"Announcements at in front of the primary health centre railway station are inaudible, causing confusion among travelers.",Public Transport
The bridge approach road near the vegetable mandi has sunk in the middle and cars are scraping their base.,Roads & Potholes
"Beggars and vendors crowd the temple entrance on the service road, making it difficult for devotees to enter.",Other
"There is no watchman at the park near the vegetable mandi anymore, and anti-social elements gather there.",Parks & Gardens
"There was a loud spark from the transformer near the temple last night, we are scared of a fire.",Electricity
Traffic police are absent outside City Hospital and the broken signal is causing severe congestion.,Traffic Signals
"There is a foul smell coming from the uncollected garbage in Nehru Colony, it's unbearable.",Garbage Collection
The dumping ground near outside the mosque is overflowing and residents are complaining of the stench.,Garbage Collection
"Gardeners have not visited the park in front of the primary health centre in months, hedges are overgrown and unkempt.",Parks & Gardens
The road outside the railway station in the industrial area is uneven and full of loose bricks.,Roads & Potholes
"After the recent road widening work Sector 12, the streetlights were never reinstalled.",Street Lighting
"An open drain runs right past the bus stop near Gandhi Chowk, commuters have to step over sewage.",Sewage & Drainage
"Street lights in front of the primary health centre have stopped working for a fortnight, the entire lane is pitch dark at night.",Street Lighting
Water logging on the road in Nehru Colony hides the potholes underneath and vehicles keep getting stuck.,Roads & Potholes
"There has been a power outage in front of the primary health centre for two days, and no one has come to check the transformer.",Electricity
the sprinkler system in garden on the flyover near Sector 9 is broken so all the grass has dried up completely,Parks & Gardens
Frequent power cuts close to the fire station are damaging our appliances due to voltage fluctuation.,Electricity
"The park gate Sector 12 has been broken for weeks, stray animals wander in freely.",Parks & Gardens
"The jogging track lights near the railway station are not working, making evening exercise unsafe.",Parks & Gardens
"The water tanker did not come to on the highway bypass road for almost a month now, and we have run out of drinking water.",Water Supply
"There is stagnant sewage water outside City Hospital right next to the children's play area, very unsafe.",Sewage & Drainage
Illegal construction is taking place in the industrial area without any approved building permit.,Other
"The bus to in the industrial area has not come on schedule for the past week, commuters are stranded.",Public Transport
Residents in the slum area behind our society are suffering from a foul smell due to the choked drainage system.,Sewage & Drainage
Noise pollution from the loudspeaker at the temple in Phase 2 of Divine Enclave society continues late into the night.,Other
please fix the transformer near outside the mosque its been making a buzzing noise for days now,Electricity
"During the heatwave, power cuts near Lotus Apartments have increased to almost 6 hours a day.",Electricity
"Due to no streetlights on the flyover near Sector 9, women feel unsafe walking home after dark.",Street Lighting
The signal at on Station Road has been under 'temporary repair' for six months now with no progress.,Traffic Signals
A major water pipeline has burst outside the mosque and water is being wasted on the road. Hope this gets resolved before something bad happens.,Water Supply
Residents Lakeview Apartments are suffering from a foul smell due to the choked drainage system.,Sewage & Drainage
"This is the third complaint about the same pothole close to the college gate, still nothing has been done.",Roads & Potholes
"Sir, the road near at the railway crossing is in very bad condition, several accidents have happened here.",Roads & Potholes
Illegal power connections near St. Mary's convent school are overloading the local transformer and causing frequent trips.,Electricity
The streetlight transformer in Kalyan Nagar has been sparking intermittently for the last two nights.,Electricity
"Rainwater mixed with garbage at the bus stop on Church Street has created a filthy, smelly puddle on the street.",Garbage Collection
"An unauthorized religious structure has come up overnight in Kalyan Nagar, blocking half the road.",Other
"There is a burning smell coming from the electric pole at the railway crossing, please send someone immediately.",Electricity
"After the wedding function close to the college gate, huge piles of food waste were left uncollected for days.",Garbage Collection
we have complained many times about flickering lights near Rajpuri village but no action taken yet,Electricity
"Please clear the blocked drain outside the school near Gandhi Chowk, kids are wading through dirty water.",Sewage & Drainage
"The water tanker did not come to in Old Town market for two days, and we have run out of drinking water.",Water Supply
"electricity keeps going on and off every few minutes near near Lotus Apartments, very frustrating",Electricity
"The water tanker did not come to close to the college gate since last week, and we have run out of drinking water.",Water Supply
Water supply pipe passing through the drain in front of our apartment building has cracked and is a serious contamination risk.,Water Supply
Requesting a new traffic signal installation near the hospital junction near the bus depot urgently.,Traffic Signals
"Sir, we r senior citizens in Kalyan Nagar and carrying water from far is very hard for us.",Water Supply
"There are no streetlights or road markings on the newly built road in front of our apartment building, very risky at night.",Roads & Potholes
There have been three accidents this month at the junction outside the mosque due to the faulty signal.,Traffic Signals
Several streetlight poles near the bus depot are flickering and going off randomly every night.,Street Lighting
"The traffic signal near Sunrise Public School is hidden behind an overgrown tree, drivers can't see it in time.",Traffic Signals
During heavy rains the drains behind the fish market overflow within minutes causing severe flooding.,Sewage & Drainage
Illegal power connections near the bus depot are overloading the local transformer and causing frequent trips.,Electricity
The last mile connectivity from the station on Ring Road to residential areas is extremely poor.,Public Transport
"Request pest control services in front of our apartment building, cockroach and rat infestation has become severe.",Other
Illegal power connections Sector 12 are overloading the local transformer and causing frequent trips.,Electricity
Sudden power cuts during the exam period on the service road are badly affecting students studying at night.,Electricity
"traffic light near at the railway crossing is stuck on red always, cars just ignore it now",Traffic Signals
We request CCTV cameras to be installed Shanti Nagar due to increasing theft incidents recently.,Other
"Construction waste has been dumped illegally near the railway station, blocking half the road.",Garbage Collection
"Half the streetlights on the highway stretch on the service road are non-functional, very risky for drivers.",Street Lighting
The public toilet near the government hospital is in an extremely unhygienic condition and has no water supply.,Other
"An open manhole MG Road is extremely dangerous, a child almost fell into it yesterday.",Sewage & Drainage
"There is no proper drainage system behind the fish market, every monsoon the lane gets waterlogged badly.",Sewage & Drainage
Our electricity bill Sector 12 shows an abnormally high reading despite minimal usage this month.,Electricity
the light pole near in Old Town market fell down in the storm and nobody came to fix it yet,Street Lighting
"Half the streetlights on the highway stretch near the vegetable mandi are non-functional, very risky for drivers.",Street Lighting
During the recent heatwave the water tanker stopped coming near the railway station altogether.,Water Supply
During Ganesh festival the water tanker skipped our lane near Lotus Apartments for three days straight.,Water Supply
Waste water from the sewage treatment plant is leaking into the nearby pond on the service road.,Sewage & Drainage
"The electric pole wires in Nehru Colony are tangled with tree branches, risk of short circuit is high.",Electricity
"There is sewage mixing into the drinking water pipeline near the metro station, this is a health hazard.",Water Supply
An abandoned building near the church junction has become a hotspot for illegal activities at night.,Other
"please add more plants and flowers in the park Green Valley Society, it looks very neglected now",Parks & Gardens
The open gym equipment at the bus stop on Church Street is rusted and some machines are completely non-functional.,Parks & Gardens
Water fountain in the park in Kalyan Nagar has been dry and dysfunctional for over a year.,Parks & Gardens
The waste segregation bins near St. Mary's convent school have all been mixed together and never emptied.,Garbage Collection
"our borewell water has turned yellow and smells bad, plz check it Sector 12.",Water Supply
The garbage collection vehicle skips our lane in Nehru Colony even though we pay municipal tax.,Garbage Collection
The signal pole on the highway bypass road was damaged in an accident and hasn't been repaired since.,Traffic Signals
"There used to be daily garbage pickup in Phase 2 of Divine Enclave society, now it has reduced to once a week only.",Garbage Collection
"Medical waste from a nearby clinic is being dumped with regular garbage in front of our apartment building, very unsafe.",Garbage Collection
The water meter behind the fish market is showing wrong readings and our bill has doubled.,Water Supply
There is a leakage in the main water line near the church junction since Monday and it is flooding the street.,Water Supply
The streetlight transformer in front of Ambedkar Park has been sparking intermittently for the last two nights.,Electricity
"The stormwater drain outside City Hospital has been encroached upon, causing flooding every time it rains.",Sewage & Drainage
Sudden power cuts during the exam period near the church junction are badly affecting students studying at night.,Electricity
The community bin in Phase 2 of Divine Enclave society has been damaged and garbage is spilling onto the footpath.,Garbage Collection
"The road leading to the hospital close to the college gate is full of potholes, ambulances struggle to pass.",Roads & Potholes
"No water for drinking or bathing in the slum area behind our society since early morning today, kids are suffering a lot. Residents are very upset about this.",Water Supply
"Please install new streetlights along the road near St. Mary's convent school, there have been robberies at night.",Street Lighting
there is no signal at the bus stop junction near in front of Ambedkar Park and buses just cut across traffic,Traffic Signals
"After the pipeline repair in the industrial area, sewage is now leaking straight onto the main road.",Sewage & Drainage
"Loud construction work on the highway bypass road continues even during late night hours, disturbing residents' sleep.",Other
"Overgrown grass and weeds have taken over the garden in the slum area behind our society, it hasn't been maintained in months.",Parks & Gardens
The new apartment block in front of the primary health centre still has no official water connection even after six months.,Water Supply
"There is no watchman at the park near Gandhi Chowk anymore, and anti-social elements gather there.",Parks & Gardens
"Garbage bags are torn open by dogs outside City Hospital every night, spreading trash all over the lane.",Garbage Collection
We request a dedicated bus lane near in Rampur village to reduce delays during office hours.,Public Transport
"Sir, we r senior citizens on the highway bypass road and carrying water from far is very hard for us.",Water Supply
"The stray dog menace near the church junction needs urgent sterilization drives, they chase morning walkers.",Other
"After the recent road widening work in Kalyan Nagar, the streetlights were never reinstalled.",Street Lighting
Please deploy a suction machine to clear the choked drain close to the college gate before the next rains.,Sewage & Drainage
"There is no light near the temple steps outside City Hospital, elderly devotees keep stumbling in the dark.",Street Lighting
"Announcements at near the panchayat office railway station are inaudible, causing confusion among travelers.",Public Transport
"Please clear the blocked drain outside the school near the vegetable mandi, kids are wading through dirty water.",Sewage & Drainage
The water supply timing has changed suddenly and nobody informed the residents Sector 12.,Water Supply
Low water pressure in the industrial area is making it impossible to fill even a bucket. Requesting the concerned department to act fast.,Water Supply
Students from in the industrial area are missing school because the morning bus never arrives on time.,Public Transport
An abandoned building near the government hospital has become a hotspot for illegal activities at night.,Other
The signal Sector 12 was knocked down by a truck last week and has not been replaced.,Traffic Signals
"Contaminated water is coming from the municipal pipeline on the service road, several people fell sick.",Water Supply
Auto and cab drivers near close to the college gate refuse to go by meter and overcharge passengers.,Public Transport
The new apartment block outside City Hospital still has no official water connection even after six months.,Water Supply
"The drainage cover near Sunrise Public School has been broken for months, exposing raw sewage to the open air.",Sewage & Drainage
"There is a burning smell coming from the electric pole behind the community hall, please send someone immediately.",Electricity
The last bus from near the panchayat office was cancelled without any prior notice to commuters.,Public Transport
The lake inside the garden near the panchayat office is filled with plastic waste and looks neglected.,Parks & Gardens
A broken sewage pipe near the temple is contaminating the drinking water source nearby.,Sewage & Drainage
The drain outside the hospital Rajpuri village is overflowing and creating unhygienic surroundings for patients.,Sewage & Drainage
We request a permanent solution for garbage disposal behind the community hall instead of irregular pickups.,Garbage Collection
Please deploy a suction machine to clear the choked drain at the railway crossing before the next rains.,Sewage & Drainage
"Construction waste has been dumped illegally near the panchayat office, blocking half the road.",Garbage Collection
The public library on the flyover near Sector 9 has been closed for renovation for over a year with no updates.,Other
The last bus from on Ring Road was cancelled without any prior notice to commuters.,Public Transport
"A stray cattle herd roams freely in Phase 2 of Divine Enclave society, causing traffic disruptions and damaging crops.",Other
"The ticket counter at on the highway bypass road station remains closed most mornings, causing long queues.",Public Transport
"Beggars and vendors crowd the temple entrance at the railway crossing, making it difficult for devotees to enter.",Other
Unregulated firecracker stalls near in the slum area behind our society pose a serious fire risk during the festival season.,Other
Water is not reaching the upper floors of our building near the metro station due to low pressure.,Water Supply
"We request urgent repair of the crater-like pothole in Kalyan Nagar, an elderly man fell into it yesterday.",Roads & Potholes
The garbage truck has not come to in Nehru Colony for several months and the bins are overflowing.,Garbage Collection
"There is no power backup at the hospital near St. Mary's convent school during outages, this endangers patients.",Electricity
"Unauthorized hoardings near the government hospital are blocking the view at a busy junction, causing safety issues.",Other
Vandals broke the streetlight covers MG Road and now there is no lighting at all in that stretch.,Street Lighting
"Garbage bags are torn open by dogs near the metro station every night, spreading trash all over the lane.",Garbage Collection
"The drainage cover near the church junction has been broken for months, exposing raw sewage to the open air.",Sewage & Drainage
There is a dangerous ditch behind the community hall that is not covered or marked with any warning sign.,Roads & Potholes
"Flies and mosquitoes are breeding in the garbage heap near the vegetable mandi, we fear disease outbreak.",Garbage Collection
"Bus drivers on the Rajpuri village route skip stops during rain, leaving passengers waiting for hours.",Public Transport
There has been no water supply in Phase 2 of Divine Enclave society for over a week. Please help us with this issue.,Water Supply
Pedestrians are forced to run across in the industrial area since the walk signal never turns green.,Traffic Signals
we have complained many times about flickering lights near in the slum area behind our society but no action taken yet,Electricity
"Someone is dumping slaughterhouse waste near the park near the temple, it's extremely unhygienic.",Garbage Collection
"The road leading to the hospital on the service road is full of potholes, ambulances struggle to pass.",Roads & Potholes
School children in Phase 2 of Divine Enclave society have no drinking water available during exam days.,Water Supply
During night hours the signal in Rampur village should blink amber but instead it stays completely off.,Traffic Signals
Repeated patchwork on the road in Nehru Colony keeps washing away within days of every rain.,Roads & Potholes
"Contaminated water is coming from the municipal pipeline on the highway bypass road, several people fell sick.",Water Supply
"The water tanker did not come to in the slum area behind our society for the past three days, and we have run out of drinking water.",Water Supply
Waterlogging due to poor drainage on Ring Road has damaged several ground floor shops.,Sewage & Drainage
