"complaint","department"
"The railway station near the vegetable mandi lacks proper announcements, passengers keep missing their trains.","Public Transport"
"Sewage water has entered ground floor homes Lakeview Apartments after last night's heavy rain.","Sewage & Drainage"
"There is a huge pothole in front of the primary health centre that caused a two-wheeler accident last night.","Roads & Potholes"
"Overcrowded buses on the near the panchayat office route are becoming unsafe, especially during rush hour.","Public Transport"
"Unregulated firecracker stalls near Green Valley Society pose a serious fire risk during the festival season.","Other"
"Rats and cockroaches are coming from the open drain in the slum area behind our society into our homes.","Sewage & Drainage"
"Streetlight cables Lakeview Apartments were stolen last week and the area has been dark since.","Street Lighting"
"Please clean up the litter and broken glass scattered across the park on Ring Road.","Parks & Gardens"
"Every year during the rains the same drain in front of the primary health centre chokes up, this needs a permanent fix.","Sewage & Drainage"
"Disabled passengers struggle at the bus stop near the bus depot due to lack of ramps or assistance.","Public Transport"
"The new LED streetlights installed in Phase 2 of Divine Enclave society stopped working within a month.","Street Lighting"
"Illegal parking inside the park premises on Station Road has damaged the lawn badly.","Parks & Gardens"
"The last mile connectivity from the station near Lotus Apartments to residential areas is extremely poor.","Public Transport"
"Please increase the frequency of water tanker visits to in front of the primary health centre, once a week is not enough.","Water Supply"
"The walking track near the railway station is damaged with cracks, elderly people trip while morning walking.","Parks & Gardens"
"We request CCTV cameras to be installed Green Valley Society due to increasing theft incidents recently.","Other"
"An electrical fault in the traffic signal in front of our apartment building caused a short circuit spark last evening.","Traffic Signals"
"There is no public information center near the temple to help new residents with municipal services.","Other"
"the sprinkler system in garden near the vegetable mandi is broken so all the grass has dried up completely","Parks & Gardens"
"bus stop shelter near at the railway crossing is broken and we have to stand in the rain every day","Public Transport"
"Illegal power connections near Lotus Apartments are overloading the local transformer and causing frequent trips.","Electricity"
"The new apartment block Sector 12 still has no official water connection even after six months.","Water Supply"
"garbage van comes very late at night in Nehru Colony and disturbs everyone with the noise","Garbage Collection"
"Voltage fluctuation on Ring Road burnt out our refrigerator and television last week.","Electricity"
"The market street at the railway crossing goes completely dark after 8pm, shopkeepers are worried about theft.","Street Lighting"
"pls take action on the illegal liquor shop operating near on the highway bypass road, its disturbing the area","Other"
"why is water supply cut every single day near St. Mary's convent school without any notice given to us","Water Supply"
"A stray cattle herd roams freely on the highway bypass road, causing traffic disruptions and damaging crops.","Other"
"The dumping ground near in Phase 2 of Divine Enclave society is overflowing and residents are complaining of the stench.","Garbage Collection"
"Every year during the rains the same drain near Sunrise Public School chokes up, this needs a permanent fix.","Sewage & Drainage"
"The lake inside the garden Sector 12 is filled with plastic waste and looks neglected.","Parks & Gardens"
"Power supply outside City Hospital keeps failing during every rainfall, we need underground cabling.","Electricity"
"Traffic signal malfunction in front of our apartment building led to a minor collision between two cars yesterday.","Traffic Signals"
"The dumping ground near near Sunrise Public School is overflowing and residents are complaining of the stench.","Garbage Collection"
"Half the streetlights on the highway stretch at the railway crossing are non-functional, very risky for drivers.","Street Lighting"
"Please clean up the litter and broken glass scattered across the park in the slum area behind our society.","Parks & Gardens"
"An abandoned building outside City Hospital has become a hotspot for illegal activities at night.","Other"
"Encroachment by vendors near Gandhi Chowk has blocked the entire footpath, pedestrians walk on the road.","Other"
"Rainwater mixed with garbage on the flyover near Sector 9 has created a filthy, smelly puddle on the street.","Garbage Collection"
"A stray cattle herd roams freely near the temple, causing traffic disruptions and damaging crops.","Other"
"The children's park in the industrial area has broken swings and rusty equipment that could hurt kids.","Parks & Gardens"
"Streetlight cables near Sunrise Public School were stolen last week and the area has been dark since.","Street Lighting"
"The community bin outside City Hospital has been damaged and garbage is spilling onto the footpath.","Garbage Collection"
"The dumping ground near in Kalyan Nagar is overflowing and residents are complaining of the stench.","Garbage Collection"
"we have complained many times about flickering lights near in Rampur village but no action taken yet","Electricity"
"School children near the railway station have no drinking water available during exam days.","Water Supply"
"The bridge approach road near the church junction has sunk in the middle and cars are scraping their base.","Roads & Potholes"
"pls take action on the illegal liquor shop operating near close to the college gate, its disturbing the area","Other"
"street light number 14 near outside City Hospital keeps blinking on and off, very annoying and unsafe","Street Lighting"
"The signal timing Sector 12 is too short, pedestrians cannot cross in time.","Traffic Signals"
"The solar streetlights in Old Town market stopped charging and remain off every single night now.","Street Lighting"
"Streetlight cables near the railway station were stolen last week and the area has been dark since.","Street Lighting"
"After the recent road widening work in Phase 2 of Divine Enclave society, the streetlights were never reinstalled.","Street Lighting"
"There is no light near the temple steps in front of the primary health centre, elderly devotees keep stumbling in the dark.","Street Lighting"
"Stray dogs in Kalyan Nagar have become aggressive and have bitten two children this month.","Other"
"This is the third complaint about the same pothole behind the fish market, still nothing has been done.","Roads & Potholes"
"The drainage cover in Kalyan Nagar has been broken for months, exposing raw sewage to the open air.","Sewage & Drainage"
"the drain near in Old Town market is blocked with plastic and overflowing into our compound","Sewage & Drainage"
"Our request for a new electricity connection on Ring Road has been pending for over two months.","Electricity"
"Overgrown grass and weeds have taken over the garden in Old Town market, it hasn't been maintained in months.","Parks & Gardens"
"The cemetery near Sunrise Public School is overgrown and poorly maintained, families find it hard to visit.","Other"
"Unauthorized hoardings near the temple are blocking the view at a busy junction, causing safety issues.","Other"
"Street lights in Nehru Colony have stopped working since the storm last week, the entire lane is pitch dark at night.","Street Lighting"
"the manhole cover near near Sunrise Public School is missing since last week, its very risky at night","Sewage & Drainage"
"Streetlight cables in front of our apartment building were stolen last week and the area has been dark since.","Street Lighting"
"Streetlight cables near the metro station were stolen last week and the area has been dark since.","Street Lighting"
"Streetlights near the school Rajpuri village remain off, making it unsafe for children returning late.","Street Lighting"
"Drivers routinely jump the red light in Kalyan Nagar because there is no camera or officer present.","Traffic Signals"
"An electric pole behind the fish market is leaning dangerously after the storm, risk of it falling anytime.","Electricity"
"Trees in the park near the bus depot have not been trimmed and branches are falling during storms.","Parks & Gardens"
"Bus drivers on the on Ring Road route skip stops during rain, leaving passengers waiting for hours.","Public Transport"
"our borewell water has turned yellow and smells bad, plz check it near the temple.","Water Supply"
"The road Green Valley Society has not been repaired since the monsoon and is full of craters.","Roads & Potholes"
"There used to be daily garbage pickup Sector 12, now it has reduced to once a week only.","Garbage Collection"
"Rats and cockroaches are coming from the open drain Shanti Nagar into our homes.","Sewage & Drainage"
"Unauthorized hoardings near the vegetable mandi are blocking the view at a busy junction, causing safety issues.","Other"
"The substation near near the metro station trips almost every evening during peak usage hours.","Electricity"
"Drivers routinely jump the red light in the slum area behind our society because there is no camera or officer present.","Traffic Signals"
"There has been a power outage near St. Mary's convent school , and no one has come to check the transformer.","Electricity"
"the light pole near outside the mosque fell down in the storm and nobody came to fix it yet","Street Lighting"
"Medical waste from a nearby clinic is being dumped with regular garbage near Sunrise Public School, very unsafe.","Garbage Collection"
"Exposed electrical wires near the bus depot are hanging low, extremely dangerous for children playing nearby.","Electricity"
"Overcrowded buses on the behind the community hall route are becoming unsafe, especially during rush hour.","Public Transport"
"the manhole cover near close to the college gate is missing since last week, its very risky at night","Sewage & Drainage"
"Repeated patchwork on the road in Old Town market keeps washing away within days of every rain.","Roads & Potholes"
"Kids' play area near the panchayat office has broken slides with sharp edges, very dangerous for children.","Parks & Gardens"
"Please repair the traffic light Shanti Nagar, it's been blinking yellow for over a month now.","Traffic Signals"
"A streetlight wire is exposed and hanging dangerously in Old Town market, risk of electrocution.","Street Lighting"
"The electric pole wires near the church junction are tangled with tree branches, risk of short circuit is high.","Electricity"
"We have not received power since the cyclone near the railway station, please restore the lines urgently.","Electricity"
"The meter reading near the temple was never taken this quarter, yet we got an estimated bill that's too high.","Electricity"
"The jogging track lights on the flyover near Sector 9 are not working, making evening exercise unsafe.","Parks & Gardens"
"Request to fix the broken see-saw and monkey bars in the park MG Road immediately.","Parks & Gardens"
"The water tanker did not come to in Rampur village for over a week, and we have run out of drinking water.","Water Supply"
"Kids' play area on Ring Road has broken slides with sharp edges, very dangerous for children.","Parks & Gardens"
"A broken sewage pipe near the church junction is contaminating the drinking water source nearby.","Sewage & Drainage"
"The railway station near the temple lacks proper announcements, passengers keep missing their trains.","Public Transport"
"The hospital outside City Hospital is facing acute water shortage which is affecting patient care badly.","Water Supply"
"The jogging track lights Lakeview Apartments are not working, making evening exercise unsafe.","Parks & Gardens"
"the park near near Sunrise Public School is full of garbage and drunkards hang around there at night","Parks & Gardens"
"The old banyan tree in the industrial area is diseased and its branches keep falling on passing vehicles.","Other"
"Sir, we r senior citizens in Nehru Colony and carrying water from far is very hard for us.","Water Supply"
"The signal near the railway crossing at the bus stop on Church Street does not sync properly with the gate timings.","Traffic Signals"
"The new apartment block behind the fish market still has no official water connection even after six months.","Water Supply"
"During the wedding season the water demand increased but supply in Phase 2 of Divine Enclave society has completely stopped.","Water Supply"
"Power supply at the railway crossing keeps failing during every rainfall, we need underground cabling.","Electricity"
"During the wedding season, frequent power cuts in front of our apartment building are ruining events for many families.","Electricity"
"Kids cannot play in the evening in Nehru Colony because there is no lighting on the ground.","Street Lighting"
"The open gym equipment Lakeview Apartments is rusted and some machines are completely non-functional.","Parks & Gardens"
"There is a huge pothole near the temple that caused a two-wheeler accident last night.","Roads & Potholes"
"The countdown timer at the signal Sector 12 is broken, drivers don't know when to stop.","Traffic Signals"
"Sir, the road near near the panchayat office is in very bad condition, several accidents have happened here.","Roads & Potholes"
"Passengers are forced to travel on the footboard on the in the industrial area route due to overcrowding.","Public Transport"
"The countdown timer at the signal at the bus stop on Church Street is broken, drivers don't know when to stop.","Traffic Signals"
"the dustbin near in Phase 2 of Divine Enclave society is broken and overflowing since many days, plz send a truck","Garbage Collection"
"There is no proper drainage system outside the mosque, every monsoon the lane gets waterlogged badly.","Sewage & Drainage"
"There has been complete darkness on the service road for over two weeks now, please send an electrician.","Street Lighting"
"There is no light near the temple steps on the service road, elderly devotees keep stumbling in the dark.","Street Lighting"
"A stray cattle herd roams freely near Sunrise Public School, causing traffic disruptions and damaging crops.","Other"
"The road contractor left the work unfinished outside the mosque and now it is worse than before.","Roads & Potholes"
"Sudden power cuts during the exam period in Phase 2 of Divine Enclave society are badly affecting students studying at night.","Electricity"
"Beggars and vendors crowd the temple entrance outside the mosque, making it difficult for devotees to enter.","Other"
"Streetlights near the school on Ring Road remain off, making it unsafe for children returning late.","Street Lighting"
"The dumping ground near in the slum area behind our society is overflowing and residents are complaining of the stench.","Garbage Collection"
"The dumping ground near near the vegetable mandi is overflowing and residents are complaining of the stench.","Garbage Collection"
"The park behind the community hall has become a dumping ground for construction debris from nearby buildings.","Parks & Gardens"
"The playground on the flyover near Sector 9 has been taken over by unauthorized parking of commercial vehicles.","Other"
"There is stagnant sewage water on the service road right next to the children's play area, very unsafe.","Sewage & Drainage"
"Sewage water has entered ground floor homes in Phase 2 of Divine Enclave society after last night's heavy rain.","Sewage & Drainage"
"please fix the transformer near near the metro station its been making a buzzing noise for days now","Electricity"
"Sewage water has entered ground floor homes Green Valley Society after last night's heavy rain.","Sewage & Drainage"
"The community bin near Gandhi Chowk has been damaged and garbage is spilling onto the footpath.","Garbage Collection"
"The bridge approach road near St. Mary's convent school has sunk in the middle and cars are scraping their base.","Roads & Potholes"
"Cows and stray animals are eating from the open garbage dump in front of our apartment building daily.","Garbage Collection"
"During the wedding season, frequent power cuts in Old Town market are ruining events for many families.","Electricity"
"Tar has washed away completely from the road in the slum area behind our society, only stones remain now.","Roads & Potholes"
"road is completely broken in Phase 2 of Divine Enclave society, cant even ride a scooty properly","Roads & Potholes"
"The electric junction box in Kalyan Nagar is open and exposed, a serious hazard for passersby.","Electricity"
"Vandals broke the streetlight covers in Old Town market and now there is no lighting at all in that stretch.","Street Lighting"
"Illegal parking inside the park premises close to the college gate has damaged the lawn badly.","Parks & Gardens"
"A major water pipeline has burst in the slum area behind our society and water is being wasted on the road. Hoping for a quick response.","Water Supply"
"The footpath near Sunrise Public School is broken and pedestrians are forced to walk on the busy road.","Roads & Potholes"
"Please clean up the litter and broken glass scattered across the park close to the college gate.","Parks & Gardens"
"Auto and cab drivers near at the bus stop on Church Street refuse to go by meter and overcharge passengers.","Public Transport"
"traffic light near outside the mosque is stuck on red always, cars just ignore it now","Traffic Signals"
"road is completely broken near Gandhi Chowk, cant even ride a scooty properly","Roads & Potholes"
"There have been three accidents this month at the junction on Ring Road due to the faulty signal.","Traffic Signals"
"A broken sewage pipe on Station Road is contaminating the drinking water source nearby.","Sewage & Drainage"
"The society's septic tank Sector 12 is overflowing and needs urgent desludging.","Sewage & Drainage"
"During the heatwave, power cuts outside City Hospital have increased to almost 6 hours a day.","Electricity"
"The bus stop sign near Gandhi Chowk has faded completely, new commuters can't identify the stop.","Public Transport"
"Street lights near Sunrise Public School have stopped working for a fortnight, the entire lane is pitch dark at night.","Street Lighting"
"School buses find it very difficult to navigate the potholed road in Phase 2 of Divine Enclave society every morning.","Roads & Potholes"
"The garbage truck has not come to near the panchayat office and the bins are overflowing.","Garbage Collection"
"We are getting muddy and smelly water in our taps on the highway bypass road. Requesting the concerned department to act fast.","Water Supply"
"After the recent rains, the road in the slum area behind our society has turned into a muddy mess with deep potholes.","Roads & Potholes"
"Water logging on the road on the flyover near Sector 9 hides the potholes underneath and vehicles keep getting stuck.","Roads & Potholes"
"There is a foul smell coming from the uncollected garbage in Old Town market, it's unbearable.","Garbage Collection"
"We request a dedicated bus lane near near the vegetable mandi to reduce delays during office hours.","Public Transport"
"sewage overflow near on Ring Road is a health hazard, kids are getting skin infections","Sewage & Drainage"
"We request a permanent solution for garbage disposal at the bus stop on Church Street instead of irregular pickups.","Garbage Collection"
"The factory area near in front of the primary health centre draws excess power, causing dim lighting in nearby homes.","Electricity"
"The light near the railway crossing near Lotus Apartments is broken, very dangerous for night travelers.","Street Lighting"
"Stray dogs on the flyover near Sector 9 have become aggressive and have bitten two children this month.","Other"
"Passengers are forced to travel on the footboard on the in Nehru Colony route due to overcrowding.","Public Transport"
"Sudden power cuts during the exam period in front of Ambedkar Park are badly affecting students studying at night.","Electricity"
"Overloaded shared autos near on the service road are extremely unsafe, especially for women travelling alone.","Public Transport"
"The bus stop sign on the service road has faded completely, new commuters can't identify the stop.","Public Transport"
"pls fix the road asap, near near Sunrise Public School it is like a river of mud when it rains","Roads & Potholes"
"The meter reading Shanti Nagar was never taken this quarter, yet we got an estimated bill that's too high.","Electricity"
"The community hall Rajpuri village has been encroached upon and is being used for illegal parking.","Other"
"Drainage water is stagnant close to the fire station, breeding mosquitoes and causing a terrible stench.","Sewage & Drainage"
"Please replace the broken street lamp near Sunrise Public School, it has been dead for over a month.","Street Lighting"
"i think there is some leakage underground near the metro station bcoz road is always wet even in summer","Water Supply"
"During the recent heatwave the water tanker stopped coming near St. Mary's convent school altogether.","Water Supply"
"Street lights Rajpuri village have stopped working for over a week, the entire lane is pitch dark at night.","Street Lighting"
"During peak hours the traffic light close to the fire station malfunctions and creates chaos on the road.","Traffic Signals"
"Several streetlight poles near the temple are flickering and going off randomly every night.","Street Lighting"
"Please repair the traffic light close to the college gate, it's been blinking yellow for over a month now.","Traffic Signals"
"The cemetery near the metro station is overgrown and poorly maintained, families find it hard to visit.","Other"
"our borewell water has turned yellow and smells bad, plz check it near the metro station.","Water Supply"
"There is no public information center near Sunrise Public School to help new residents with municipal services.","Other"
"Only 2 out of 10 poles are working in Kalyan Nagar, the rest have been dark for months.","Street Lighting"
"the drain near near the temple is blocked with plastic and overflowing into our compound","Sewage & Drainage"
"Water logging on the road near the temple hides the potholes underneath and vehicles keep getting stuck.","Roads & Potholes"
"Repeated patchwork on the road near Sunrise Public School keeps washing away within days of every rain.","Roads & Potholes"
"Fireworks are being burst well beyond the permitted hours behind the community hall, disturbing elderly residents.","Other"
"The waste segregation bins outside City Hospital have all been mixed together and never emptied.","Garbage Collection"
"We request better security in the park in front of our apartment building as incidents of theft have increased recently.","Parks & Gardens"
"Flies and mosquitoes are breeding in the garbage heap outside the mosque, we fear disease outbreak.","Garbage Collection"
"Traffic police are absent in Nehru Colony and the broken signal is causing severe congestion.","Traffic Signals"
"The garden at the bus stop on Church Street used to be well maintained but now it is full of dry patches and litter.","Parks & Gardens"
"Water fountain in the park near the vegetable mandi has been dry and dysfunctional for over a year.","Parks & Gardens"
"During the heatwave, power cuts on Ring Road have increased to almost 6 hours a day.","Electricity"
"Construction waste has been dumped illegally outside City Hospital, blocking half the road.","Garbage Collection"
"Sir, the road near near the railway station is in very bad condition, several accidents have happened here.","Roads & Potholes"
"After the pipeline repair work on the service road, air is coming through the tap instead of water.","Water Supply"
"During the rains, water entered the streetlight fixture on the highway bypass road and now it sparks dangerously.","Street Lighting"
"We had to buy water cans for a week because the municipal supply on Ring Road completely dried up.","Water Supply"
"The overhead tank Green Valley Society overflows every night and wastes thousands of litres of water.","Water Supply"
"We request a dedicated bus lane near at the railway crossing to reduce delays during office hours.","Public Transport"
"The factory area near close to the fire station draws excess power, causing dim lighting in nearby homes.","Electricity"
"our borewell water has turned yellow and smells bad, plz check it behind the community hall.","Water Supply"
"Loud construction work close to the college gate continues even during late night hours, disturbing residents' sleep.","Other"
"We have raised this issue thrice already, the streetlight in Nehru Colony is still not repaired.","Street Lighting"
"Unregulated firecracker stalls near Sector 12 pose a serious fire risk during the festival season.","Other"
"The overhead tank in the slum area behind our society overflows every night and wastes thousands of litres of water.","Water Supply"
"The signal near the railway crossing close to the fire station does not sync properly with the gate timings.","Traffic Signals"
"The platform at MG Road station has no shelter, passengers get drenched during rains.","Public Transport"
"The jogging track lights in the industrial area are not working, making evening exercise unsafe.","Parks & Gardens"
"The electric junction box near the railway station is open and exposed, a serious hazard for passersby.","Electricity"
"The nala near near the railway station has not been desilted before the monsoon season this year.","Sewage & Drainage"
"Construction debris has been left on the road in front of the primary health centre for weeks, blocking half the lane.","Roads & Potholes"
"Mosquito fogging has not been done in Rampur village despite several dengue cases reported nearby.","Other"
"The road divider Shanti Nagar has been damaged and never fixed, causing wrong-side driving.","Roads & Potholes"
"Illegal parking inside the park premises near the temple has damaged the lawn badly.","Parks & Gardens"
"The railway station in the slum area behind our society lacks proper announcements, passengers keep missing their trains.","Public Transport"
"Low water pressure Sector 12 is making it impossible to fill even a bucket. Hope this gets resolved before something bad happens.","Water Supply"
"Mosquito fogging has not been done on Ring Road despite several dengue cases reported nearby.","Other"
"Long queues form daily near Sunrise Public School because the signal cycle is poorly timed for the traffic volume.","Traffic Signals"
"Only 2 out of 10 poles are working near Sunrise Public School, the rest have been dark for months.","Street Lighting"
"There is sewage mixing into the drinking water pipeline in front of the primary health centre, this is a health hazard.","Water Supply"
"We request urgent repair of the crater-like pothole on Station Road, an elderly man fell into it yesterday.","Roads & Potholes"
"The park pathway lights in front of our apartment building are all switched off, making evening walks unsafe for elderly people.","Street Lighting"
"Students from near the metro station are missing school because the morning bus never arrives on time.","Public Transport"
"Every year during the rains the same drain near the panchayat office chokes up, this needs a permanent fix.","Sewage & Drainage"
"traffic light near near Gandhi Chowk is stuck on red always, cars just ignore it now","Traffic Signals"
"our borewell water has turned yellow and smells bad, plz check it in the industrial area.","Water Supply"
"Overcrowded buses on the in Rampur village route are becoming unsafe, especially during rush hour.","Public Transport"
"An auto rickshaw overturned yesterday due to the massive pothole Lakeview Apartments, someone was injured.","Roads & Potholes"
"Requesting a new traffic signal installation near the hospital junction Lakeview Apartments urgently.","Traffic Signals"
"An electric pole in Nehru Colony is leaning dangerously after the storm, risk of it falling anytime.","Electricity"
"Due to no streetlights Shanti Nagar, women feel unsafe walking home after dark.","Street Lighting"
"The signal in the industrial area was knocked down by a truck last week and has not been replaced.","Traffic Signals"
"The waste segregation bins MG Road have all been mixed together and never emptied.","Garbage Collection"
"Foul smelling gutter water is entering our compound on the highway bypass road through a cracked pipe.","Sewage & Drainage"
"Students from near Lotus Apartments are missing school because the morning bus never arrives on time.","Public Transport"
"There has been a power outage near St. Mary's convent school since the last festival, and no one has come to check the transformer.","Electricity"
"An open drain runs right past the bus stop MG Road, commuters have to step over sewage.","Sewage & Drainage"
"The park near the bus depot has become a dumping ground for construction debris from nearby buildings.","Parks & Gardens"
"The overhead tank Sector 12 overflows every night and wastes thousands of litres of water.","Water Supply"
"Illegal connections to the main sewer line close to the college gate are causing frequent blockages.","Sewage & Drainage"
"There is no proper drainage system Sector 12, every monsoon the lane gets waterlogged badly.","Sewage & Drainage"
"The open gym equipment in Phase 2 of Divine Enclave society is rusted and some machines are completely non-functional.","Parks & Gardens"
"The new apartment block on the flyover near Sector 9 still has no official water connection even after six months.","Water Supply"
"During the heatwave, power cuts in Phase 2 of Divine Enclave society have increased to almost 6 hours a day.","Electricity"
"Disabled passengers struggle at the bus stop outside the mosque due to lack of ramps or assistance.","Public Transport"
"Sudden power cuts during the exam period behind the fish market are badly affecting students studying at night.","Electricity"
"An abandoned building in front of the primary health centre has become a hotspot for illegal activities at night.","Other"
"our society entrance close to the college gate has no light at all after 9pm, security guard cant see anything","Street Lighting"
"A large pit has formed at the bus stop on Church Street due to a burst pipeline and it is a danger for vehicles.","Roads & Potholes"
"Cows and stray animals are eating from the open garbage dump in the industrial area daily.","Garbage Collection"
"Students from at the railway crossing are missing school because the morning bus never arrives on time.","Public Transport"
"traffic light near in the slum area behind our society is stuck on red always, cars just ignore it now","Traffic Signals"
"Nobody segregates the waste properly near the government hospital and it is just dumped in one big heap.","Garbage Collection"
"E-waste and old furniture have been dumped on the roadside near the panchayat office for over a month.","Garbage Collection"
"There has been complete darkness near the vegetable mandi for over two weeks now, please send an electrician.","Street Lighting"
"Auto and cab drivers near on Ring Road refuse to go by meter and overcharge passengers.","Public Transport"
"After last night's storm, the traffic light on the highway bypass road went completely dark and stayed that way.","Traffic Signals"
"Contaminated water is coming from the municipal pipeline outside the mosque, several people fell sick.","Water Supply"
"The walking track in front of our apartment building is damaged with cracks, elderly people trip while morning walking.","Parks & Gardens"
"Low water pressure close to the fire station is making it impossible to fill even a bucket. Kindly do the needful at the earliest.","Water Supply"
"Illegal dumping of construction material has blocked the pedestrian path in Nehru Colony for weeks.","Other"
"During the recent heatwave the water tanker stopped coming on the flyover near Sector 9 altogether.","Water Supply"
"Water logging on the road in front of Ambedkar Park hides the potholes underneath and vehicles keep getting stuck.","Roads & Potholes"
"The children's park on Ring Road has broken swings and rusty equipment that could hurt kids.","Parks & Gardens"
"The whole colony near Lotus Apartments has been without power since last evening due to a tripped line.","Electricity"
"Please clean up the litter and broken glass scattered across the park on the flyover near Sector 9.","Parks & Gardens"
"Vandals broke the streetlight covers at the railway crossing and now there is no lighting at all in that stretch.","Street Lighting"
"The underground cable near behind the fish market was damaged during road digging and power has been out since.","Electricity"
"There is a burning smell coming from the electric pole near the metro station, please send someone immediately.","Electricity"
"There used to be daily garbage pickup near the church junction, now it has reduced to once a week only.","Garbage Collection"
"After last night's storm, the traffic light near Lotus Apartments went completely dark and stayed that way.","Traffic Signals"
"Cars turning right at behind the fish market have no dedicated signal, causing frequent near-misses.","Traffic Signals"
"The bus to near the railway station has not come on schedule for the past week, commuters are stranded.","Public Transport"
"pls fix the road asap, near on Ring Road it is like a river of mud when it rains","Roads & Potholes"
"No water for drinking or bathing close to the fire station for the past two weeks, kids are suffering a lot.","Water Supply"
"Garbage bags are torn open by dogs close to the college gate every night, spreading trash all over the lane.","Garbage Collection"
"Fireworks are being burst well beyond the permitted hours near the railway station, disturbing elderly residents.","Other"
"our society entrance near the railway station has no light at all after 9pm, security guard cant see anything","Street Lighting"
"sewage overflow near near St. Mary's convent school is a health hazard, kids are getting skin infections","Sewage & Drainage"
"i think there is some leakage underground Green Valley Society bcoz road is always wet even in summer","Water Supply"
"The railway crossing gate near outside City Hospital stays closed for unusually long periods, delaying commuters.","Public Transport"
"The stormwater drain near St. Mary's convent school has been encroached upon, causing flooding every time it rains.","Sewage & Drainage"
"Traffic signal malfunction near Sunrise Public School led to a minor collision between two cars yesterday.","Traffic Signals"
"The substation near near Lotus Apartments trips almost every evening during peak usage hours.","Electricity"
"Beggars and vendors crowd the temple entrance near the church junction, making it difficult for devotees to enter.","Other"
"Please install new streetlights along the road in Old Town market, there have been robberies at night.","Street Lighting"
"There is no traffic signal at the busy junction in the slum area behind our society, accidents happen almost every week.","Traffic Signals"
"The solar streetlights in the slum area behind our society stopped charging and remain off every single night now.","Street Lighting"
"The public library outside the mosque has been closed for renovation for over a year with no updates.","Other"
"We request a permanent solution for garbage disposal on the flyover near Sector 9 instead of irregular pickups.","Garbage Collection"
"We have raised this issue thrice already, the streetlight in Phase 2 of Divine Enclave society is still not repaired.","Street Lighting"
"There was a loud spark from the transformer near the railway station last night, we are scared of a fire.","Electricity"
"The water tanker did not come to in Kalyan Nagar , and we have run out of drinking water.","Water Supply"
"Exposed electrical wires near the panchayat office are hanging low, extremely dangerous for children playing nearby.","Electricity"
"The stray dog menace near the bus depot needs urgent sterilization drives, they chase morning walkers.","Other"
"During the wedding season the water demand increased but supply outside City Hospital has completely stopped.","Water Supply"
"Overgrown grass and weeds have taken over the garden Sector 12, it hasn't been maintained in months.","Parks & Gardens"
"During Diwali the lights on Ring Road were working, but they have been off ever since.","Street Lighting"
"Please regulate the noise from the DJ played during the wedding function in Kalyan Nagar till midnight.","Other"
"Tar has washed away completely from the road outside City Hospital, only stones remain now.","Roads & Potholes"
"Streetlights near the school Green Valley Society remain off, making it unsafe for children returning late.","Street Lighting"
"The signal timing near the church junction is too short, pedestrians cannot cross in time.","Traffic Signals"
"After the pipeline repair work near Lotus Apartments, air is coming through the tap instead of water.","Water Supply"
"Children playing near the metro station are exposed to broken glass and waste scattered on the ground.","Garbage Collection"
"The market area near the bus depot generates huge waste daily but there is no proper disposal system.","Garbage Collection"
"Bus timings displayed at the stop at the bus stop on Church Street do not match the actual arrival times at all.","Public Transport"
"Overcrowded buses on the on Ring Road route are becoming unsafe, especially during rush hour.","Public Transport"
"pls take action on the illegal liquor shop operating near on Station Road, its disturbing the area","Other"
"Power supply MG Road keeps failing during every rainfall, we need underground cabling.","Electricity"
"Please clear the blocked drain outside the school in the industrial area, kids are wading through dirty water.","Sewage & Drainage"
"The metro service near behind the fish market has been irregular, with long gaps between trains lately.","Public Transport"
"our society entrance in Old Town market has no light at all after 9pm, security guard cant see anything","Street Lighting"
"There is a huge pothole on the flyover near Sector 9 that caused a two-wheeler accident last night.","Roads & Potholes"
"There is sewage mixing into the drinking water pipeline near the government hospital, this is a health hazard.","Water Supply"
"The garbage collection vehicle skips our lane in Kalyan Nagar even though we pay municipal tax.","Garbage Collection"
"During the recent heatwave the water tanker stopped coming close to the college gate altogether.","Water Supply"
"There is no bus service at all connecting our village to in the industrial area after 7pm.","Public Transport"
"Tar has washed away completely from the road in front of Ambedkar Park, only stones remain now.","Roads & Potholes"
"The park in front of Ambedkar Park has become a dumping ground for construction debris from nearby buildings.","Parks & Gardens"
"Fireworks are being burst well beyond the permitted hours at the bus stop on Church Street, disturbing elderly residents.","Other"
"An abandoned building on the highway bypass road has become a hotspot for illegal activities at night.","Other"
"Frequent power cuts on the flyover near Sector 9 are damaging our appliances due to voltage fluctuation.","Electricity"
"Our entire street on Station Road smells of sewage after the pipeline burst two days ago.","Sewage & Drainage"
"Please regulate the noise from the DJ played during the wedding function near the church junction till midnight.","Other"
"There is a dangerous ditch at the railway crossing that is not covered or marked with any warning sign.","Roads & Potholes"
"Illegal connections to the main sewer line in Phase 2 of Divine Enclave society are causing frequent blockages.","Sewage & Drainage"
"The garbage truck has not come to near Gandhi Chowk for the last five days and the bins are overflowing.","Garbage Collection"
"Only 2 out of 10 poles are working at the railway crossing, the rest have been dark for months.","Street Lighting"
"The playground Shanti Nagar has been taken over by unauthorized parking of commercial vehicles.","Other"
"The road near the market in Old Town market has sunk badly, trucks cannot pass through anymore.","Roads & Potholes"
"During the wedding season, frequent power cuts outside the mosque are ruining events for many families.","Electricity"
"The signal near Sunrise Public School was knocked down by a truck last week and has not been replaced.","Traffic Signals"
