complaint,department
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. Needs fix in our village square.",Parks & Gardens
The power company workers left the high-voltage junction box completely unlocked and open to kids. Kindly address this on high priority.,Electricity
loud speaker noise during festival is crossing all permissible decibel limits near school zone. It has been happening for a long time.,Other
there is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot. it is worse early in the morning.,Other
"urgent attention needed. terrible road conditions on the national highway, causing multiple minor accidents every day.",Roads & Potholes
Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society.,Other
Power cut during the night time is making it impossible to sleep in this extreme summer heat. This is happening by the sector 4 intersection.,Electricity
Our entire locality is suffering. There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic. This is completely unacceptable.,Traffic Signals
"No traffic police or functional signals near the community hospital, causing ambulance delays. This is happening at the central bus stop.",Traffic Signals
The children's park near our society has overgrown grass and weeds everywhere. Needs fix right outside the railway station.,Parks & Gardens
Please resolve this as soon as possible. Someone dumped electronic waste and old furniture right on the pavement near the market.,Garbage Collection
"buses are running extremely late, i had to wait for more than an hour to go to the hospital. it is worse in this scorching heat.",Public Transport
Reminder for the authority: The bus conductors are routinely refusing to issue tickets to students and senior citizens. Please take immediate action.,Public Transport
Please take strict action. People are dumping trash right outside the community hospital gate. It is a massive health hazard.,Garbage Collection
"The pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway. This is happening outside the community hospital.",Traffic Signals
The municipal workers cleared the drain but left the stinking sludge right on the side of the road.,Sewage & Drainage
This is a recurring problem. The countdown timer display is completely broken and blacked out at the sector 4 crossing.,Traffic Signals
Our entire phase is down while the opposite side of the road has full power supply. Please check. Please take immediate action.,Electricity
"Extremely disappointed with municipal services. Street lights outside our apartment have stopped working, making it completely dark at night.",Street Lighting
High voltage line has snapped and fallen onto the wet road near the central bus stop. Needs fix near the metro station gate.,Electricity
Foul smell coming from the blocked manhole right next to the community hospital entrance. Please take immediate action.,Sewage & Drainage
Deep ditches on the corner of the market lane are causing vehicles to get stuck frequently. This is happening on the national highway near the toll booth.,Roads & Potholes
"Stray cattle are sitting in the middle of the national highway, causing massive traffic hazards. Looking forward to a speedy resolution.",Other
"Dear authorities, please fix this. Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society. This needs to be fixed before an accident happens.",Other
The green belt area along the highway is being encroached upon by illegal vehicle parking.,Parks & Gardens
"The automatic signal system is failing during rush hours, manual intervention is badly needed. It's getting worse day by day.",Traffic Signals
Highly frustrated with the current state. The municipal workers refused to collect segregated waste from Sunrise Housing Society today.,Garbage Collection
Public washrooms near the central bus stop are absolutely filthy and have no running water. It's getting worse day by day.,Other
Frequent voltage fluctuations are damaging home appliances like refrigerators and ACs near the market. This is completely unacceptable.,Electricity
"The garbage collection vehicle comes at unpredictable times, sometimes at 5 AM or sometimes not at all.",Garbage Collection
"The security guard at the municipal garden is always sleeping, and anti-social elements drink alcohol there. No one is listening to our requests.",Parks & Gardens
Huge pile of waste collecting near the central bus stop. Needs fix along the commercial market lane.,Garbage Collection
Urgent attention needed. People are dumping trash right outside the community hospital gate. It is a massive health hazard.,Garbage Collection
"Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. This is happening on the bridge.",Water Supply
No technician has arrived to fix the underground cable fault near the railway station area. Needs fix near the petrol pump.,Electricity
"The bus shelter near the railway station has no roof, commuters have to stand under the heavy rain. This is happening near the public library.",Public Transport
The entire street is littered with plastic bags after the weekend festival celebration.,Garbage Collection
"An emergency situation has arisen. The crossing light remains red for too long, causing frustrated drivers to break the rules constantly. This needs to be fixed before an accident happens.",Traffic Signals
"Extremely disappointed with municipal services. Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. This needs to be fixed before an accident happens.",Water Supply
"The commercial market area is flooded with smelly sewer water, customers cannot enter shops. This is happening on the national highway near the toll booth.",Sewage & Drainage
Highly frustrated with the current state. The entire locality is flooded with drainage water after the heavy rains yesterday morning. Kindly address this on high priority.,Sewage & Drainage
watar supply cut off without any prior notice in Sunrise Housing Society. Needs fix near the public library.,Water Supply
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. Kindly address this on high priority.",Public Transport
The municipal workers cleared the drain but left the stinking sludge right on the side of the road. We pay our taxes regularly for this?,Sewage & Drainage
unauthorized vehicle parking on both sides of the narrow lane is blocking the entry of fire engines. needs fix in the residential block c.,Other
The street inside our housing society entrance is completely worn out. Senior citizens cannot walk safely. It is worse in this scorching heat.,Roads & Potholes
"The commercial market area is flooded with smelly sewer water, customers cannot enter shops. The concerned department must check this today.",Sewage & Drainage
"Extremely disappointed with municipal services. Terrible road conditions on teh national highway, causing multiple minor accidents every day.",Roads & Potholes
"We requested new street lights for our village road six months ago, but still nothing has been done. Needs fix by the sector 4 intersection.",Street Lighting
An emergency situation has arisen. The countdown timer display is completely broken and blacked out at the sector 4 crossing.,Traffic Signals
The newly installed smart signals are not working properly and causing confusion among drivers. It is worse during peak rush hours.,Traffic Signals
"Dear authorities, please fix this. Frequent signal failures at the major intersection are leading to multiple near-miss accidents every day. This needs to be fixed before an accident happens.",Traffic Signals
The garbage truck has not visited our area for four days. The stench is unbearable. This is happening behind the government office.,Garbage Collection
"the road outside the hospital is completely broken, making it extremely dangerous for ambulances. it is worse with the upcoming festival season.",Roads & Potholes
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area. This is happening on the bridge.,Other
"The commercial market area is flooded with smelly sewer water, customers cannot enter shops. It is worse during peak rush hours.",Sewage & Drainage
Our entire locality is suffering. We are getting water for only 10 minutes in the morning. How are we supposed to survive in this heat? Please update on the status of this complaint.,Water Supply
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. Needs fix at the central bus stop.,Garbage Collection
The contractor left the road half-tarred near Green Valley Apartments. Dust is flying everywhere. It is worse especially at night time.,Roads & Potholes
The lamp post near St. Mary's School has an exposed live wire hanging down. This is an emergency! It is worse over the weekend.,Street Lighting
The municipal workers cleared the drain but left the stinking sludge right on the side of the road. Needs fix right outside the railway station.,Sewage & Drainage
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction.,Traffic Signals
I want to report that People are dumping trash right outside the community hospital gate. It is a massive health hazard.,Garbage Collection
rod is full of potholes near school zone. very dangerous for kids. It is worse over the weekend.,Roads & Potholes
"This is a recurring problem. No traffic police or functional signals near the community hospital, causing ambulance delays.",Traffic Signals
"Public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours. It is worse causing minor accidents.",Public Transport
Reminder for the authority: Foul smell coming from the blocked manhole right next to the community hospital entrance.,Sewage & Drainage
"Terrible road conditions on the national highway, causing multiple minor accidents every day. Needs fix near the petrol pump.",Roads & Potholes
I want to report that Public washrooms near the central bus stop are absolutely filthy and have no running water.,Other
"Writing this out of absolute desperation. The valve man is not opening the gates properly, some houses get full force while we get nothing. Please take immediate action.",Water Supply
Our entire locality is suffering. The air conditioning in the premium city buses is completely broken and blowing hot air in this summer.,Public Transport
Both red and green lights are glowing simultaneously at the railway station crossing signal. This is happening on the bridge.,Traffic Signals
The entire locality is flooded with drainage water after the heavy rains yesterday morning. Please update on the status of this complaint.,Sewage & Drainage
"I want to report that Buses are running extremely late, I had to wait for more than an hour to go to the hospital.",Public Transport
"Chemical smoke coming from a small factory inside the residential zone, making it hard to breathe. Needs fix at the central bus stop.",Other
"Trees are completely blocking the street lights near the library, making the footpath very dark. Needs fix near Green Valley Apartments.",Street Lighting
Complaining on behalf of all residents. The light fixture is broken and hanging dangerously from the pole near teh metro station exit.,Street Lighting
Please take strict action. The road has completely caved in near the metro station due to the recent drainage work. It's getting worse day by day.,Roads & Potholes
gardn is full of plastic cups and garbage after the local festival event held last weekend. This is happening outside the nursing home.,Parks & Gardens
The green belt area along the highway is being encroached upon by illegal vehicle parking. Looking forward to a speedy resolution.,Parks & Gardens
"No bus connectivity or routes available for our village, we have to walk 3 kilometers to the highway. This is happening in the residential block C.",Public Transport
No power for the last 12 hours in our village. Customer care number is continuously busy or switched off.,Electricity
"Public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours.",Public Transport
Why is there no water today? Is there a maintenance work going on near the market?,Water Supply
the water timing was changed without telling us. needs fix outside the nursing home.,Water Supply
Foul smell coming from the blocked manhole right next to the community hospital entrance. It is worse which is an emergency situation.,Sewage & Drainage
An emergency situation has arisen. The entire stretch from the railway station to the market is full of deep patches and potholes.,Roads & Potholes
Deep ditches on the corner of the market lane are causing vehicles to get stuck frequently. Looking forward to a speedy resolution.,Roads & Potholes
"Every time it rains, the drains overflow and water enters our houses. We need a permanent solution.",Sewage & Drainage
Deep ditches on the corner of the market lane are causing vehicles to get stuck frequently. This is happening by the main vegetable market.,Roads & Potholes
Mosquito breeding ground created due to stagnant drain water behind Green Valley Apartments. This is happening outside the community hospital.,Sewage & Drainage
"Kindly look into this issue: Trees are completely blocking the street lights near the library, making the footpath very dark.",Street Lighting
The blinking yellow cautionary light is not working during late night hours at the dangerous curve. Needs fix outside the nursing home.,Traffic Signals
"No working lights on the national highway stretch, leading to minor accidents during night time. This is happening at the central bus stop.",Street Lighting
Highly frustrated with the current state. Frequent voltage fluctuations are damaging home appliances like refrigerators and ACs near the market. No one is listening to our requests.,Electricity
Highly frustrated with the current state. Main pipeline leaking near the railway station. Water is flooding the nearby shops.,Water Supply
"The bus shelter near the railway station has no roof, commuters have to stand under the heavy rain.",Public Transport
The garbage truck has not visited our area for four days. The stench is unbearable. This is happening near the petrol pump.,Garbage Collection
gargabe truck driver driving very recklessly inside the residential complex lines. Needs fix in Sunrise Housing Society.,Garbage Collection
A manhole cover is completely missing on the main road near the railway station. Highly dangerous! This is happening near the public library.,Sewage & Drainage
the lamp post near st. needs fix by the main vegetable market.,Street Lighting
Five consecutive street light poles are non-functional in Sunrise Housing Society main lane. Needs fix near Green Valley Apartments.,Street Lighting
Extremely disappointed with municipal services. Main pipeline leaking near the railway station. Water is flooding the nearby shops. No one is listening to our requests.,Water Supply
"No working lights on the national highway stretch, leading to minor accidents during night time. Please take immediate action.",Street Lighting
complaining on behalf of all residents. street lights remain turned on during the entire afternoon. this is a huge waste of electricity.,Street Lighting
Public washrooms near the central bus stop are absolutely filthy and have no running water. Please update on the status of this complaint.,Other
Rotting garbage piles near the vegetable market are attracting flies and mosquitoes during this rainy season. It is worse making it unsafe for kids.,Garbage Collection
Complaining on behalf of all residents. Benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden.,Parks & Gardens
"our entire locality is suffering. loudspeakers are playing high-volume music past midnight near the hospital zone, disturbing patients.",Other
"No regular watering of plants in the central public garden, all the beautiful flowers are dying.",Parks & Gardens
The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. Needs fix at the central bus stop.,Sewage & Drainage
Potholes on the flyover are causing massive traffic jams during peak morning rush hours.,Roads & Potholes
An electric pole is leaning dangerously over the road outside the community hospital. Needs fix near the petrol pump.,Electricity
reminder for the authority: no power for the last 12 hours in our village. customer care number is continuously busy or switched off.,Electricity
"street lights outside our apartment have stopped working, making it completely dark at night. no one is listening to our requests.",Street Lighting
smell of rotten food coming from the illegal dumping site behind green valley apartments. this is happening outside the community hospital.,Garbage Collection
Kindly look into this issue: There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic.,Traffic Signals
Power cut during the night time is making it impossible to sleep in this extreme summer heat. Needs fix by the sector 4 intersection.,Electricity
Kindly look into this issue: Illegal street vendors have completely encroached upon the footpaths near the railway station. Kindly address this on high priority.,Other
Power cut during the night time is making it impossible to sleep in this extreme summer heat. Needs fix near the local children's park.,Electricity
"No working lights on the national highway stretch, leading to minor accidents during night time. No one is listening to our requests.",Street Lighting
"highly frustrated with the current state. the commercial market area is flooded with smelly sewer water, customers cannot enter shops. please update on the status of this complaint.",Sewage & Drainage
Deep ditches on the corner of the market lane are causing vehicles to get stuck frequently. It is worse which is an emergency situation.,Roads & Potholes
No power for the last 12 hours in our village. Customer care number is continuously busy or switched off. It is worse over the weekend.,Electricity
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. This is happening near the local children's park.,Traffic Signals
This is a recurring problem. Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. Hoping for a quick response.,Garbage Collection
"Stray cattle are sitting in the middle of the national highway, causing massive traffic hazards. It has been happening for a long time.",Other
The entire locality is flooded with drainage water after teh heavy rains yesterday morning. This is happening near Green Valley Apartments.,Sewage & Drainage
"Complaining on behalf of all residents. Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now!",Water Supply
"We requested new street lights for our village road six months ago, but still nothing has been done. It is worse during heavy rains yesterday.",Street Lighting
The power company workers left the high-voltage junction box completely unlocked and open to kids.,Electricity
Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road.,Roads & Potholes
The sweepers are burning dry leaves and plastic waste in the open near the public park. It is worse in this scorching heat.,Garbage Collection
The sweepers are burning dry leaves and plastic waste in the open near the public park. Needs fix behind the government office.,Garbage Collection
"elecricity bill not delivered on time, and now they are charging a heavy late fee penalty. this is happening by the sector 4 intersection.",Electricity
The light fixture is broken and hanging dangerously from the pole near the metro station exit. Needs fix in Sunrise Housing Society.,Street Lighting
The light fixture is broken and hanging dangerously from the pole near the metro station exit. This is happening outside the nursing home.,Street Lighting
No technician has arrived to fix the underground cable fault near the railway station area. Needs fix near the Hanuman temple.,Electricity
"Stray cattle are sitting in the middle of the national highway, causing massive traffic hazards. It is worse in this scorching heat.",Other
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. This is happening right outside the railway station.",Public Transport
the entire street is littered with plastic bags after the weekend festival celebration. needs fix in sunrise housing society.,Garbage Collection
Huge potholes have formed near the main vegetable market after the heavy rains yesterday. This is happening near the Hanuman temple.,Roads & Potholes
Municipal sweepers have not cleared the roadside debris for over a fortnight now. It is worse especially at night time.,Garbage Collection
No technician has arrived to fix the underground cable fault near the railway station area. It is worse causing minor accidents.,Electricity
Please take strict action. The electricity transformer near St. Mary's School is sparking loudly and emitting a burning smell. Hoping for a quick response.,Electricity
"Loudspeakers are playing high-volume music past midnight near the hospital zone, disturbing patients. This is happening in the residential block C.",Other
"the automatic signal system is failing during rush hours, manual intervention is badly needed. needs fix near the metro station gate.",Traffic Signals
I want to report that The bus conductors are routinely refusing to issue tickets to students and senior citizens.,Public Transport
"Our entire locality is suffering. The commercial market area is flooded with smelly sewer water, customers cannot enter shops. This is completely unacceptable.",Sewage & Drainage
We need regular trimming of the large tree branches overhanging the pathway inside the park. This is happening on the national highway near the toll booth.,Parks & Gardens
All the swings and slides are broken and rusted in the municipal park near St. Mary's School. This is happening on the bridge.,Parks & Gardens
A manhole cover is completely missing on the main road near the railway station. Highly dangerous! This is happening on the national highway near the toll booth.,Sewage & Drainage
"No regular watering of plants in the central public garden, all the beautiful flowers are dying. It is worse during peak rush hours.",Parks & Gardens
The contractor left the road half-tarred near Green Valley Apartments. Dust is flying everywhere. This is happening near St. Mary's School.,Roads & Potholes
"Complaining on behalf of all residents. No working lights on the national highway stretch, leading to minor accidents during night time.",Street Lighting
The public library building has developed major cracks on the walls and needs immediate structural audit.,Other
"Writing this out of absolute desperation. The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous. Looking forward to a speedy resolution.",Water Supply
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck. It is worse during heavy rains yesterday.",Traffic Signals
there is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot. it is worse with the upcoming festival season.,Other
stret lights not working since last monday near the local market zone. kindly address this on high priority.,Street Lighting
"The automatic signal system is failing during rush hours, manual intervention is badly needed.",Traffic Signals
"Loudspeakers are playing high-volume music past midnight near the hospital zone, disturbing patients. Kindly address this on high priority.",Other
"Writing this out of absolute desperation. Reckless driving by the municipal bus driver near St. Mary's School, almost hit a cyclist today. It's getting worse day by day.",Public Transport
"The pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway. Needs fix outside the nursing home.",Traffic Signals
We need immediate resurfacing of the main bypass lane. It is destroying our cars and bikes. This is happening near St. Mary's School.,Roads & Potholes
Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society. This is happening outside the nursing home.,Other
the countdown timer display is completely broken and blacked out at the sector 4 crossing. it is worse which is an emergency situation.,Traffic Signals
Complaining on behalf of all residents. The entire street is littered with plastic bags after the weekend festival celebration. This needs to be fixed before an accident happens.,Garbage Collection
"New LED lights installed are very dim, they do not illuminate the road properly at all. We pay our taxes regularly for this?",Street Lighting
Illegal street vendors have completely encroached upon the footpaths near the railway station. Needs fix near the public library.,Other
"No bus connectivity or routes available for our village, we have to walk 3 kilometers to the highway.",Public Transport
"New LED lights installed are very dim, they do not illuminate the road properly at all. Needs fix right outside the railway station.",Street Lighting
Five consecutive street light poles are non-functional in Sunrise Housing Society main lane.,Street Lighting
garbage bins are overflowing near st. needs fix along the commercial market lane.,Garbage Collection
The garbage truck has not visited our area for four days. Needs fix near the Hanuman temple.,Garbage Collection
Benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden.,Parks & Gardens
Extremely disappointed with municipal services. The digital electricity meter is running exceptionally fast and generating highly inflated bills.,Electricity
"The commercial market area is flooded with smelly sewer water, customers cannot enter shops. This is happening near Green Valley Apartments.",Sewage & Drainage
"The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents. Needs fix in Sunrise Housing Society.",Other
Please resolve this as soon as possible. Five consecutive street light poles are non-functional in Sunrise Housing Society main lane.,Street Lighting
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. Needs fix near the local children's park.,Garbage Collection
Reminder for the authority: Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments.,Garbage Collection
power cut during the night time is making it impossible to sleep in this extreme summer heat. it is worse during peak rush hours.,Electricity
"The pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway. Needs fix by the sector 4 intersection.",Traffic Signals
No supply for forty eight hours in block B. Total crisis situation.,Water Supply
The entire stretch from the railway station to the market is full of deep patches and potholes. No one is listening to our requests.,Roads & Potholes
Urgent attention needed. Deep ditches on the corner of the market lane are causing vehicles to get stuck frequently.,Roads & Potholes
I want to report that Benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden. Looking forward to a speedy resolution.,Parks & Gardens
Complaining on behalf of all residents. Illegal construction work going on without building permission behind Green Valley Apartments.,Other
gardn is full of plastic cups and garbage after the local festival event held last weekend. No one is listening to our requests.,Parks & Gardens
"Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. This is happening behind the government office.",Water Supply
"We requested new street lights for our village road six months ago, but still nothing has been done. It is worse causing minor accidents.",Street Lighting
The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. Needs fix in Sunrise Housing Society.,Sewage & Drainage
"The walking track inside the park is completely broken, causing senior citizens to trip and fall. It is worse with the upcoming festival season.",Parks & Gardens
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. It is worse early in the morning.",Parks & Gardens
"Trees are completely blocking the street lights near the library, making the footpath very dark. Needs fix outside the nursing home.",Street Lighting
reminder for the authority: why is there no water today? is there a maintenance work going on near the market?,Water Supply
This is a recurring problem. The solar power grid integration is failing repeatedly in Green Valley Apartments block.,Electricity
"The traffic signal at the main market intersection is completely dead, causing massive gridlock. It is worse during heavy rains yesterday.",Traffic Signals
I want to report that Muddy and slippery tracks in our village because the main road was never paved by the municipality. Hoping for a quick response.,Roads & Potholes
"The timer on the traffic light near St. Mary's School is mismatched, giving only 5 seconds to cross. This is happening behind the government office.",Traffic Signals
"The garbage collection vehicle comes at unpredictable times, sometimes at 5 AM or sometimes not at all. This needs to be fixed before an accident happens.",Garbage Collection
Extremely disappointed with municipal services. Public dustbins are completely broken and missing near the railway station area.,Garbage Collection
Extremely disappointed with municipal services. The road has completely caved in near the metro station due to the recent drainage work.,Roads & Potholes
There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic. It's getting worse day by day.,Traffic Signals
"Dear authorities, please fix this. The automatic signal system is failing during rush hours, manual intervention is badly needed.",Traffic Signals
suwage water leaking and mixing with the open field where children play in our village. It is worse causing minor accidents.,Sewage & Drainage
Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society. This is happening behind the government office.,Other
"The crossing light remains red for too long, causing frustrated drivers to break the rules constantly. Needs fix behind the government office.",Traffic Signals
An electric pole is leaning dangerously over the road outside the community hospital. Big hazard! It's getting worse day by day.,Electricity
"Our entire locality is suffering. Streetlights are blinking continuously near the community hospital, causing visibility issues for drivers.",Street Lighting
"Streetlights are blinking continuously near the community hospital, causing visibility issues for drivers. This is happening on the national highway near the toll booth.",Street Lighting
"Writing this out of absolute desperation. The traffic signal at the main market intersection is completely dead, causing massive gridlock. This needs to be fixed before an accident happens.",Traffic Signals
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now!",Water Supply
Please resolve this as soon as possible. Illegal hoardings and banners are blocking the view of drivers near the dangerous road curve. Please take immediate action.,Other
It is impossible to walk outside Green Valley Apartments after sunset because the lights are completely dead. We pay our taxes regularly for this?,Street Lighting
I want to report that The entire street is littered with plastic bags after the weekend festival celebration. Looking forward to a speedy resolution.,Garbage Collection
We are getting water for only 10 minutes in the morning. How are we supposed to survive in this heat?,Water Supply
The timer on the traffic light near St. Needs fix in Sunrise Housing Society.,Traffic Signals
"Trees are completely blocking the street lights near the library, making the footpath very dark. This is completely unacceptable.",Street Lighting
Please resolve this as soon as possible. Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society.,Other
"water smells heavily of chlorine, it's burning our eyes when we wash our face. the concerned department must check this today.",Water Supply
The local park is completely dark after 6 PM because none of the internal lights are operational. Needs fix behind the government office.,Street Lighting
The road has completely caved in near the metro station due to the recent drainage work. The concerned department must check this today.,Roads & Potholes
Why is there no water today? Is there a maintenance work going on near the market?. Needs fix at the central bus stop.,Water Supply
The entire locality is flooded with drainage water after the heavy rains yesterday morning.,Sewage & Drainage
"Urgent attention needed. No regular watering of plants in the central public garden, all the beautiful flowers are dying.",Parks & Gardens
"the gardener is never present, and the park has turned into a dumping ground for nearby vendors. needs fix in sunrise housing society.",Parks & Gardens
The bus conductors are routinely refusing to issue tickets to students and senior citizens. It's getting worse day by day.,Public Transport
Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society. Needs fix at the central bus stop.,Other
"Complaining on behalf of all residents. Streetlights are blinking continuously near the community hospital, causing visibility issues for drivers.",Street Lighting
Reminder for the authority: Illegal hoardings and banners are blocking the view of drivers near the dangerous road curve.,Other
This is a recurring problem. Benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden.,Parks & Gardens
Writing this out of absolute desperation. Illegal construction work going on without building permission behind Green Valley Apartments.,Other
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. Looking forward to a speedy resolution.",Garbage Collection
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments.,Garbage Collection
Why is nothing being done about this? The municipal workers refused to collect segregated waste from Sunrise Housing Society today.,Garbage Collection
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. Please take immediate action.",Garbage Collection
Illegal construction work going on without building permission behind Green Valley Apartments. Needs fix outside the nursing home.,Other
"The park benches are broken and covered in bird droppings, nobody can sit there. This is happening near Green Valley Apartments.",Parks & Gardens
"Please take strict action. Public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours. Please take immediate action.",Public Transport
The sweepers are burning dry leaves and plastic waste in the open near the public park. Kindly address this on high priority.,Garbage Collection
"Street lights outside our apartment have stopped working, making it completely dark at night. Needs fix by the main vegetable market.",Street Lighting
"The entire lane near the railway station is pitch black, which is highly unsafe for women traveling late. This is happening behind the government office.",Street Lighting
Kindly look into this issue: Stray cattle and dogs have entered the community park because the boundary wall is broken.,Parks & Gardens
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area. This is happening by the sector 4 intersection.,Other
Complaining on behalf of all residents. Frequent voltage fluctuations are damaging home appliances like refrigerators nd ACs near the market. We pay our taxes regularly for this?,Electricity
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. This is happening near the public library.,Public Transport
The contractor left the road half-tarred near Green Valley Apartments. Dust is flying everywhere. It is worse in this scorching heat.,Roads & Potholes
Urgent attention needed. suwage water leaking and mixing with the open field where children play in our village.,Sewage & Drainage
"No working lights inside the ladies' park, making it completely unusable and unsafe after dark. It is worse which is an emergency situation.",Parks & Gardens
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck. Needs fix at the central bus stop.",Traffic Signals
Reckless driving by the municipal bus driver near St. Needs fix behind the government office.,Public Transport
No water supply since yesterday morning. It's tough to manage daily chores. It is worse in this scorching heat.,Water Supply
Smell of rotten food coming from teh illegal dumping site behind Green Valley Apartments. This is happening near the metro station gate.,Garbage Collection
Extremely disappointed with municipal services. The light fixture is broken and hanging dangerously from the pole near the metro station exit.,Street Lighting
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck. Hoping for a quick response.",Traffic Signals
Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road. This needs to be fixed before an accident happens.,Roads & Potholes
the city bus tracking app is showing completely wrong timings and live locations for all routes. this is happening on the national highway near the toll booth.,Public Transport
The children's park near our society has overgrown grass and weeds everywhere. Needs fix near the petrol pump.,Parks & Gardens
The light fixture is broken and hanging dangerously from the pole near the metro station exit. This is happening at the central bus stop.,Street Lighting
Writing this out of absolute desperation. We need regular trimming of the large tree branches overhanging the pathway inside the park. Kindly address this on high priority.,Parks & Gardens
The entire locality is flooded with drainage water after the heavy rains yesterday morning. It is worse during peak rush hours.,Sewage & Drainage
"Water smells heavily of chlorine, it's burning our eyes when we wash our face. No one is listening to our requests.",Water Supply
the solar power grid integration is failing repeatedly in green valley apartments block. it's getting worse day by day.,Electricity
Frequent load shedding every single day during children's exam preparation time. This is unfair. This is happening at the central bus stop.,Electricity
"The pedestrian crossing signal does not work, making it impossible for senior citizens to cross teh highway. This is happening near St. Mary's School.",Traffic Signals
I want to report that The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. The concerned department must check this today.,Sewage & Drainage
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area.,Other
I want to report that Foul smell coming from the blocked manhole right next to the community hospital entrance. This is completely unacceptable.,Sewage & Drainage
Both red and green lights are glowing simultaneously at the railway station crossing signal. Needs fix near St. Mary's School.,Traffic Signals
loud speaker noise during festival is crossing all permissible decibel limits near school zone. This is happening in our village square.,Other
The seats inside the public transport buses are torn nd filthy. No maintenance at all. This is happening in Sunrise Housing Society.,Public Transport
"An emergency situation has arisen. Terrible road conditions on the national highway, causing multiple minor accidents every day.",Roads & Potholes
"Kindly look into this issue: Every time it rains, the drains overflow and water enters our houses. We need a permanent solution. No one is listening to our requests.",Sewage & Drainage
Extremely disappointed with municipal services. Huge pile of waste collecting near the central bus stop. Dogs and cows are scattering it everywhere.,Garbage Collection
An emergency situation has arisen. The entire locality is flooded with drainage water after the heavy rains yesterday morning. We pay our taxes regularly for this?,Sewage & Drainage
"Very low pressure in the water lines near St. Mary's School, cannot fill our overhead tanks.",Water Supply
"Contaminated water coming from municipal lines, smells like sewage. People in our society are falling sick.",Water Supply
Someone dumped electronic waste and old furniture right on the pavement near the market.,Garbage Collection
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. This is happening near the Hanuman temple.,Public Transport
"Dear authorities, please fix this. The crossing light remains red for too long, causing frustrated drivers to break the rules constantly.",Traffic Signals
"Stray cattle are sitting in the middle of the national highway, causing massive traffic hazards. This is completely unacceptable.",Other
The street inside our housing society entrance is completely worn out. Senior citizens cannot walk safely. It is worse early in the morning.,Roads & Potholes
Kindly look into this issue: The power company workers left the high-voltage junction box completely unlocked and open to kids.,Electricity
We are getting water for only 10 minutes in the morning. How are we supposed to survive in this heat? No one is listening to our requests.,Water Supply
