complaint,department,severity
"The pedestrian crossing signal on Station Road does not work, it's very risky for elderly people.",Traffic Signals,Medium
the park near in front of our apartment building is full of garbage and drunkards hang around there at night,Parks & Gardens,Medium
"Flies and mosquitoes are breeding in the garbage heap on Station Road, we fear disease outbreak.",Garbage Collection,High
"Sir, the road near close to the college gate is in very bad condition, several accidents have happened here.",Roads & Potholes,High
Loose gravel and open manholes on the road near the panchayat office are extremely dangerous for cyclists.,Roads & Potholes,High
The road contractor left the work unfinished in front of our apartment building and now it is worse than before.,Roads & Potholes,Medium
"The market street on Ring Road goes completely dark after 8pm, shopkeepers are worried about theft.",Street Lighting,Low
"Sewage water is mixing with the rainwater drain in Nehru Colony, creating unhygienic conditions.",Sewage & Drainage,High
During peak hours the traffic light close to the college gate malfunctions and creates chaos on the road.,Traffic Signals,Medium
"Drainage water is stagnant at the railway crossing, breeding mosquitoes and causing a terrible stench.",Sewage & Drainage,Medium
There is a leakage in the main water line Green Valley Society for two days and it is flooding the street.,Water Supply,Medium
"The road divider behind the fish market has been damaged and never fixed, causing wrong-side driving.",Roads & Potholes,Medium
"Construction debris has been left on the road near the vegetable mandi for weeks, blocking half the lane.",Roads & Potholes,Medium
"The drainage cover near the railway station has been broken for months, exposing raw sewage to the open air.",Sewage & Drainage,Medium
Please deploy a suction machine to clear the choked drain near the panchayat office before the next rains.,Sewage & Drainage,Medium
Illegal parking inside the park premises on the flyover near Sector 9 has damaged the lawn badly.,Parks & Gardens,Medium
The public toilet in front of our apartment building is in an extremely unhygienic condition and has no water supply.,Other,Medium
Illegal dumping of construction material has blocked the pedestrian path on the highway bypass road for weeks.,Other,Medium
"Beggars and vendors crowd the temple entrance on Ring Road, making it difficult for devotees to enter.",Other,Medium
The waste segregation bins close to the college gate have all been mixed together and never emptied.,Garbage Collection,Medium
Vandals broke the streetlight covers near Gandhi Chowk and now there is no lighting at all in that stretch.,Street Lighting,Medium
The road outside the railway station near the metro station is uneven and full of loose bricks.,Roads & Potholes,Medium
"The road divider near St. Mary's convent school has been damaged and never fixed, causing wrong-side driving.",Roads & Potholes,High
"The light near the railway crossing near the railway station is broken, very dangerous for night travelers.",Street Lighting,High
Waterlogging due to poor drainage near the vegetable mandi has damaged several ground floor shops.,Sewage & Drainage,Medium
"The factory area near near the panchayat office draws excess power, causing dim lighting in nearby homes.",Electricity,Low
Repeated patchwork on the road near the railway station keeps washing away within days of every rain.,Roads & Potholes,Medium
"There is no watchman at the park behind the community hall anymore, and anti-social elements gather there.",Parks & Gardens,Low
"pls take action on the illegal liquor shop operating near Rajpuri village, its disturbing the area",Other,Medium
There is no bus service at all connecting our village to on the flyover near Sector 9 after 7pm.,Public Transport,Medium
"Request pest control services close to the fire station, cockroach and rat infestation has become severe.",Other,Medium
"Flies and mosquitoes are breeding in the garbage heap on Ring Road, we fear disease outbreak.",Garbage Collection,High
the sprinkler system in garden behind the community hall is broken so all the grass has dried up completely,Parks & Gardens,Medium
The children's park in front of Ambedkar Park has broken swings and rusty equipment that could hurt kids.,Parks & Gardens,Medium
"The ticket counter at in front of the primary health centre station remains closed most mornings, causing long queues.",Public Transport,Medium
"There is stagnant sewage water at the railway crossing right next to the children's play area, very unsafe.",Sewage & Drainage,High
the light pole near on the highway bypass road fell down in the storm and nobody came to fix it yet,Street Lighting,Low
Traffic signal malfunction near the metro station led to a minor collision between two cars yesterday.,Traffic Signals,High
The signal outside the mosque was knocked down by a truck last week and has not been replaced.,Traffic Signals,High
"our society entrance behind the community hall has no light at all after 9pm, security guard cant see anything",Street Lighting,Low
please fix the transformer near near the vegetable mandi its been making a buzzing noise for days now,Electricity,Medium
During the wedding season the water demand increased but supply behind the community hall has completely stopped.,Water Supply,Medium
Residents near the metro station are suffering from a foul smell due to the choked drainage system.,Sewage & Drainage,Medium
"The garden's boundary wall near Gandhi Chowk has collapsed, exposing the park to the main road.",Parks & Gardens,Critical
"During the heatwave, power cuts near the metro station have increased to almost 6 hours a day.",Electricity,High
please fix the transformer near at the railway crossing its been making a buzzing noise for days now,Electricity,Medium
"There is no power backup at the hospital on Station Road during outages, this endangers patients.",Electricity,High
The sewage line in Phase 2 of Divine Enclave society has overflowed and dirty water is flooding the street.,Sewage & Drainage,Critical
"Tar has washed away completely from the road near the vegetable mandi, only stones remain now.",Roads & Potholes,Medium
"There is no light near the temple steps near Sunrise Public School, elderly devotees keep stumbling in the dark.",Street Lighting,High
"The garden's boundary wall behind the fish market has collapsed, exposing the park to the main road.",Parks & Gardens,Critical
"Tar has washed away completely from the road in Old Town market, only stones remain now.",Roads & Potholes,Medium
We had to buy water cans for a week because the municipal supply in Nehru Colony completely dried up.,Water Supply,Medium
"The drainage cover Lakeview Apartments has been broken for months, exposing raw sewage to the open air.",Sewage & Drainage,Medium
"Please install a traffic signal near the school on Station Road, children struggle to cross the road.",Traffic Signals,High
A speed breaker Lakeview Apartments was built without proper marking and bikers keep falling at night.,Roads & Potholes,Medium
"An unauthorized religious structure has come up overnight on Station Road, blocking half the road.",Other,Medium
"The road leading to the hospital in front of the primary health centre is full of potholes, ambulances struggle to pass.",Roads & Potholes,High
"The park gate at the bus stop on Church Street has been broken for weeks, stray animals wander in freely.",Parks & Gardens,Medium
"Every year during the rains the same drain in the industrial area chokes up, this needs a permanent fix.",Sewage & Drainage,Medium
"The railway crossing gate near near the bus depot stays closed for unusually long periods, delaying commuters.",Public Transport,Medium
please help us regarding the noise from the generator running all night near near Sunrise Public School,Other,High
"Kids' play area on the service road has broken slides with sharp edges, very dangerous for children.",Parks & Gardens,High
Please regulate the noise from the DJ played during the wedding function near the panchayat office till midnight.,Other,Medium
"The park pathway lights Shanti Nagar are all switched off, making evening walks unsafe for elderly people.",Street Lighting,High
Stray dogs in Rampur village have become aggressive and have bitten two children this month.,Other,Medium
The community bin in Kalyan Nagar has been damaged and garbage is spilling onto the footpath.,Garbage Collection,Medium
During heavy rains the drains near Lotus Apartments overflow within minutes causing severe flooding.,Sewage & Drainage,Critical
"The road near the market Lakeview Apartments has sunk badly, trucks cannot pass through anymore.",Roads & Potholes,Medium
"There is no dustbin in the entire park Shanti Nagar, visitors just throw waste on the grass.",Parks & Gardens,Medium
"Request pest control services Sector 12, cockroach and rat infestation has become severe.",Other,Medium
"We request urgent repair of the crater-like pothole Lakeview Apartments, an elderly man fell into it yesterday.",Roads & Potholes,High
"There was a loud spark from the transformer in Old Town market last night, we are scared of a fire.",Electricity,Medium
"During the festival, extra waste was generated but no additional collection was arranged on the highway bypass road.",Garbage Collection,Medium
"Water supply comes only for 10 minutes a day in Kalyan Nagar, that too with very low pressure.",Water Supply,Medium
Sewage water has entered ground floor homes on the highway bypass road after last night's heavy rain.,Sewage & Drainage,High
"There is a foul smell coming from the uncollected garbage in Rampur village, it's unbearable.",Garbage Collection,Medium
Water is not reaching the upper floors of our building in front of our apartment building due to low pressure.,Water Supply,Medium
"During the wedding season, frequent power cuts Lakeview Apartments are ruining events for many families.",Electricity,Medium
"night bus service to outside the mosque was stopped suddenly, workers on night shift are struggling now",Public Transport,Medium
"Overloaded shared autos near near Lotus Apartments are extremely unsafe, especially for women travelling alone.",Public Transport,High
"Please replace the broken street lamp on Ring Road, it has been dead for over a month.",Street Lighting,Medium
A property dispute has led to an illegal wall being built blocking the common pathway in Old Town market.,Other,Medium
"Tar has washed away completely from the road on Ring Road, only stones remain now.",Roads & Potholes,Medium
"The water tanker did not come to in front of our apartment building since yesterday, and we have run out of drinking water.",Water Supply,Medium
"The park pathway lights behind the community hall are all switched off, making evening walks unsafe for elderly people.",Street Lighting,High
"The pedestrian crossing signal close to the fire station does not work, it's very risky for elderly people.",Traffic Signals,Medium
Passengers are forced to travel on the footboard on the near the panchayat office route due to overcrowding.,Public Transport,Medium
The old banyan tree Lakeview Apartments is diseased and its branches keep falling on passing vehicles.,Other,Medium
Nobody segregates the waste properly Green Valley Society and it is just dumped in one big heap.,Garbage Collection,Medium
"The park pathway lights near the government hospital are all switched off, making evening walks unsafe for elderly people.",Street Lighting,High
"our borewell water has turned yellow and smells bad, plz check it near St. Mary's convent school.",Water Supply,High
Bus timings displayed at the stop Lakeview Apartments do not match the actual arrival times at all.,Public Transport,Medium
"road is completely broken close to the fire station, cant even ride a scooty properly",Roads & Potholes,Medium
We request a dedicated bus lane near near St. Mary's convent school to reduce delays during office hours.,Public Transport,High
"Please clear the blocked drain outside the school in Old Town market, kids are wading through dirty water.",Sewage & Drainage,High
"The electric pole wires on Station Road are tangled with tree branches, risk of short circuit is high.",Electricity,Medium
The garden Rajpuri village used to be well maintained but now it is full of dry patches and litter.,Parks & Gardens,Low
The city bus tracking app is showing completely wrong timings and live locations for all routes. It's getting worse day by day.,Public Transport,Medium
"Our entire locality is suffering. Chemical smoke coming from a small factory inside the residential zone, making it hard to breathe.",Other,Medium
I want to report that Huge pile of waste collecting near the central bus stop. Dogs and cows are scattering it everywhere.,Garbage Collection,Medium
Municipal sweepers have not cleared teh roadside debris for over a fortnight now. Needs fix by the main vegetable market.,Garbage Collection,Medium
"The entire lane near the railway station is pitch black, which is highly unsafe for women traveling late.",Street Lighting,High
"Our entire locality is suffering. The gardener is never present, and the park has turned into a dumping ground for nearby vendors. We pay our taxes regularly for this?",Parks & Gardens,Low
"The ladies' special bus route has been stopped without any prior notice, causing major inconvenience.",Public Transport,Medium
Our entire locality is suffering. Rainwater is not draining away because the storm water drains are full of silt and mud. It has been happening for a long time.,Sewage & Drainage,Medium
Reminder for the authority: Frequent load shedding every single day during children's exam preparation time. This is unfair. Please update on the status of this complaint.,Electricity,Medium
"The road outside the hospital is completely broken, making it extremely dangerous for ambulances. This is happening behind the government office.",Roads & Potholes,High
An emergency situation has arisen. No toilet facilities or drinking water available for visitors inside the massive regional park. It's getting worse day by day.,Parks & Gardens,Low
"Dear authorities, please fix this. Illegal construction work going on without building permission behind Green Valley Apartments.",Other,High
The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. Please update on the status of this complaint.,Sewage & Drainage,High
"The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents. This is happening near the metro station gate.",Other,Medium
This is a recurring problem. watar supply cut off without any prior notice in Sunrise Housing Society. Please fix asap. Looking forward to a speedy resolution.,Water Supply,Medium
Frequent load shedding every single day during children's exam preparation time. This is unfair. It is worse with the upcoming festival season.,Electricity,Medium
"An abandoned old car has been parking on our street for the last two years, accumulating dirt. This is happening by the sector 4 intersection.",Other,Medium
Rainwater is not draining away because the storm water drains are full of silt and mud.,Sewage & Drainage,Medium
Why is nothing being done about this? People are dumping trash right outside the community hospital gate. It is a massive health hazard. Looking forward to a speedy resolution.,Garbage Collection,High
We are getting water for only 10 minutes in the morning. How are we supposed to survive in this heat? This is completely unacceptable.,Water Supply,Medium
The local city bus completely skipped the central bus stop thrice this morning during rush hour. Please take immediate action.,Public Transport,High
The bus conductors are routinely refusing to issue tickets to students and senior citizens. Needs fix along the commercial market lane.,Public Transport,Medium
"Highly frustrated with the current state. Buses are running extremely late, I had to wait for more than an hour to go to the hospital.",Public Transport,High
No technician has arrived to fix the underground cable fault near the railway station area. The concerned department must check this today.,Electricity,Medium
Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society. Needs fix on the national highway near the toll booth.,Other,Medium
The entire street is littered with plastic bags after the weekend festival celebration. This is happening at the central bus stop.,Garbage Collection,High
loud speaker noise during festival is crossing all permissible decibel limits near school zone. This is happening in the residential block C.,Other,High
Why is nothing being done about this? There is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot.,Other,Medium
Unannounced power outage since 10 AM in Sunrise Housing Society. When will power be restored? Hoping for a quick response.,Electricity,Medium
Writing this out of absolute desperation. Power cut during the night time is making it impossible to sleep in this extreme summer heat. It has been happening for a long time.,Electricity,Medium
Urgent attention needed. The local city bus completely skipped the central bus stop thrice this morning during rush hour.,Public Transport,High
"The commercial market area is flooded with smelly sewer water, customers cannot enter shops.",Sewage & Drainage,Medium
"Complaining on behalf of all residents. elecricity bill not delivered on time, and now they are charging a heavy late fee penalty. Please take immediate action.",Electricity,High
The blinking yellow cautionary light is not working during late night hours at the dangerous curve. We pay our taxes regularly for this?,Traffic Signals,High
The road has completely caved in near the metro station due to the recent drainage work. Looking forward to a speedy resolution.,Roads & Potholes,Critical
Urgent attention needed. No door-to-door trash collection in our village for the past one week. Where should we throw our waste? This is completely unacceptable.,Garbage Collection,High
"dear authorities, please fix this. smell of rotten food coming from the illegal dumping site behind green valley apartments. this needs to be fixed before an accident happens.",Garbage Collection,High
rotting garbage piles near the vegetable market are attracting flies and mosquitoes during this rainy season. please take immediate action.,Garbage Collection,High
The air conditioning in the premium city buses is completely broken and blowing hot air in this summer. This is happening along the commercial market lane.,Public Transport,Medium
please take strict action. no water supply since yesterday morning. it's tough to manage daily chores. please update on the status of this complaint.,Water Supply,High
There is a huge infestation of mosquitoes nd rodents in our locality due to a neglected vacant plot. Needs fix right outside the railway station.,Other,Medium
"Dear authorities, please fix this. People are dumping trash right outside the community hospital gate. It is a massive health hazard.",Garbage Collection,High
The power company workers left the high-voltage junction box completely unlocked and open to kids. This is happening outside teh nursing home.,Electricity,Medium
We need regular trimming of the large tree branches overhanging the pathway inside the park. It is worse especially at night time.,Parks & Gardens,Low
Reminder for the authority: The seats inside the public transport buses are torn and filthy. No maintenance at all.,Public Transport,Medium
Huge pile of waste collecting near the central bus stop. Needs fix at the central bus stop.,Garbage Collection,Medium
Our entire locality is suffering. gargabe truck driver driving very recklessly inside the residential complex lines. Please take immediate action.,Garbage Collection,High
Public dustbins are completely broken and missing near the railway station area.,Garbage Collection,Medium
Mosquito breeding ground created due to stagnant drain water behind Green Valley Apartments. It is worse in this scorching heat.,Sewage & Drainage,Medium
I want to report that The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop. No one is listening to our requests.,Traffic Signals,High
a manhole cover is completely missing on the main road near the railway station. highly dangerous! it's getting worse day by day.,Sewage & Drainage,High
"Dear authorities, please fix this. The light fixture is broken and hanging dangerously from the pole near the metro station exit.",Street Lighting,Medium
"Reckless driving by the municipal bus driver near St. Mary's School, almost hit a cyclist today. The concerned department must check this today.",Public Transport,High
Please resolve this as soon as possible. No technician has arrived to fix the underground cable fault near the railway station area. We pay our taxes regularly for this?,Electricity,Medium
"Highly frustrated with the current state. New LED lights installed are very dim, they do not illuminate the road properly at all.",Street Lighting,Low
Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately. This is happening near the local children's park.,Sewage & Drainage,Critical
"Very low pressure in the water lines near St. Mary's School, cannot fill our overhead tanks. It is worse early in the morning.",Water Supply,High
Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. It is worse early in the morning.,Street Lighting,Medium
Someone dumped electronic waste and old furniture right on the pavement near the market. Needs fix outside the community hospital.,Garbage Collection,High
"No traffic police or functional signals near the community hospital, causing ambulance delays.",Traffic Signals,High
Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately. It is worse over the weekend.,Sewage & Drainage,Critical
Please resolve this as soon as possible. stret lights not working since last monday near the local market zone.,Street Lighting,Medium
"streetlights are blinking continuously near the community hospital, causing visibility issues for drivers. needs fix near st. mary's school.",Street Lighting,High
An emergency situation has arisen. watar supply cut off without any prior notice in Sunrise Housing Society. Please fix asap.,Water Supply,Medium
No toilet facilities or drinking water available for visitors inside the massive regional park. This is happening along the commercial market lane.,Parks & Gardens,Low
Please resolve this as soon as possible. It is impossible to walk outside Green Valley Apartments after sunset because the lights are completely dead. Please take immediate action.,Street Lighting,High
gargabe truck driver driving very recklessly inside the residential complex lines.,Garbage Collection,Medium
"The ladies' special bus route has been stopped without any prior notice, causing major inconvenience. It is worse in this scorching heat.",Public Transport,Medium
Reminder for the authority: An electric pole is leaning dangerously over the road outside the community hospital. Big hazard!,Electricity,High
"Our entire locality is suffering. Terrible road conditions on the national highway, causing multiple minor accidents every day.",Roads & Potholes,High
The sweepers are burning dry leaves and plastic waste in the open near the public park.,Garbage Collection,Medium
Complaining on behalf of all residents. We need regular trimming of the large tree branches overhanging the pathway inside the park.,Parks & Gardens,Medium
benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden. needs fix near the petrol pump.,Parks & Gardens,Low
Massive crater in the middle of the road near the central bus stop. Someone will get seriously hurt. It has been happening for a long time.,Roads & Potholes,Medium
A manhole cover is completely missing on the main road near the railway station. Highly dangerous! This is happening at the central bus stop.,Sewage & Drainage,High
No power for the last 12 hours in our village. Needs fix right outside the railway station.,Electricity,High
A manhole cover is completely missing on the main road near the railway station. Highly dangerous! This is happening near St. Mary's School.,Sewage & Drainage,High
stret lights not working since last monday near the local market zone. Needs fix near the petrol pump.,Street Lighting,Medium
"We requested new street lights for our village road six months ago, but still nothing has been done.",Street Lighting,Low
The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop. Looking forward to a speedy resolution.,Traffic Signals,High
Frequent signal failures at the major intersection are leading to multiple near-miss accidents every day. This is happening at the central bus stop.,Traffic Signals,High
watar supply cut off without any prior notice in Sunrise Housing Society. Please fix asap. It is worse during peak rush hours.,Water Supply,Medium
muddy and slippery tracks in our village because the main road was never paved by the municipality. needs fix near the petrol pump.,Roads & Potholes,Medium
"The walking track inside the park is completely broken, causing senior citizens to trip and fall. Needs fix in the residential block C.",Parks & Gardens,Medium
all the swings and slides are broken and rusted in the municipal park near st. needs fix in our village square.,Parks & Gardens,Medium
We are getting water for only 10 minutes in the morning. How are we supposed to survive in this heat? Kindly address this on high priority.,Water Supply,High
Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately.,Sewage & Drainage,Critical
There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic. This is happening near the public library.,Traffic Signals,High
Stray cattle and dogs have entered the community park because the boundary wall is broken.,Parks & Gardens,Medium
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. Hoping for a quick response.,Traffic Signals,Medium
"Why is nothing being done about this? Reckless driving by the municipal bus driver near St. Mary's School, almost hit a cyclist today. Looking forward to a speedy resolution.",Public Transport,High
Writing this out of absolute desperation. The entire stretch from the railway station to the market is full of deep patches and potholes. No one is listening to our requests.,Roads & Potholes,Medium
The street inside our housing society entrance is completely worn out. Needs fix by the sector 4 intersection.,Roads & Potholes,Medium
Illegal construction work going on without building permission behind Green Valley Apartments. It is worse making it unsafe for kids.,Other,High
The bus conductors are routinely refusing to issue tickets to students and senior citizens. This is happening near Green Valley Apartments.,Public Transport,Medium
The lamp post near St. Mary's School has an exposed live wire hanging down. This is an emergency! This is completely unacceptable.,Street Lighting,Critical
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. This is happening in the residential block C.",Garbage Collection,High
"Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. This is happening by the main vegetable market.",Water Supply,High
Extremely disappointed with municipal services. The local city bus completely skipped the central bus stop thrice this morning during rush hour. This needs to be fixed before an accident happens.,Public Transport,High
Why is nothing being done about this? Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. The concerned department must check this today.,Garbage Collection,Medium
The countdown timer display is completely broken and blacked out at the sector 4 crossing. It is worse with the upcoming festival season.,Traffic Signals,Medium
The entire locality is flooded with drainage water after the heavy rains yesterday morning. Needs fix outside the community hospital.,Sewage & Drainage,High
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. It is worse especially at night time.",Public Transport,High
Reckless driving by the municipal bus driver near St. Needs fix near the petrol pump.,Public Transport,Medium
Complaining on behalf of all residents. The local park is completely dark after 6 PM because none of the internal lights are operational.,Street Lighting,Medium
"Extremely disappointed with municipal services. The valve man is not opening the gates properly, some houses get full force while we get nothing.",Water Supply,Medium
Urgent attention needed. No water since last 3 days in our village area. The tankers are charging too much money. Looking forward to a speedy resolution.,Water Supply,High
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. Needs fix along the commercial market lane.,Public Transport,Medium
"Please resolve this as soon as possible. Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. Looking forward to a speedy resolution.",Water Supply,High
Kindly look into this issue: We need regular trimming of the large tree branches overhanging the pathway inside the park.,Parks & Gardens,Low
"no working lights on the national highway stretch, leading to minor accidents during night time. this is happening right outside the railway station.",Street Lighting,High
Frequent voltage fluctuations are damaging home appliances like refrigerators and ACs near the market. It is worse which is an emergency situation.,Electricity,Medium
Writing this out of absolute desperation. suwage water leaking and mixing with the open field where children play in our village.,Sewage & Drainage,Medium
Huge potholes have formed near the main vegetable market after the heavy rains yesterday. Needs fix near the metro station gate.,Roads & Potholes,Medium
we are getting water for only 10 minutes in the morning. how are we supposed to survive in this heat? this is happening near the metro station gate.,Water Supply,Medium
An emergency situation has arisen. Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments.,Garbage Collection,Medium
Writing this out of absolute desperation. The green belt area along the highway is being encroached upon by illegal vehicle parking.,Parks & Gardens,Low
rod is full of potholes near school zone. very dangerous for kids. This is happening at the central bus stop.,Roads & Potholes,High
"Please take strict action. Pls check the main water reservoir near the park, it seems to be overflowing and wasting water.",Water Supply,High
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. This is happening by the sector 4 intersection.,Public Transport,Medium
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. Needs fix behind the government office.,Traffic Signals,Medium
Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society. Please update on the status of this complaint.,Other,Medium
"The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents. Please update on the status of this complaint.",Other,Medium
"I want to report that The garbage collection vehicle comes at unpredictable times, sometimes at 5 AM or sometimes not at all.",Garbage Collection,Medium
Please take strict action. No supply for forty eight hours in block B. Total crisis situation.,Water Supply,Medium
Our entire locality is suffering. The power company workers left the high-voltage junction box completely unlocked and open to kids.,Electricity,Medium
I want to report that No technician has arrived to fix the underground cable fault near the railway station area.,Electricity,Medium
"The security guard at the municipal garden is always sleeping, and anti-social elements drink alcohol there.",Parks & Gardens,Low
High voltage line has snapped and fallen onto the wet road near the central bus stop. Emergency!,Electricity,Medium
"Trees are completely blocking the street lights near the library, making the footpath very dark.",Street Lighting,Low
Our entire phase is down while the opposite side of the road has full power supply. Please check. It is worse over the weekend.,Electricity,Medium
"Writing this out of absolute desperation. Contaminated water coming from municipal lines, smells like sewage. People in our society are falling sick.",Water Supply,High
"signals are completely out of sync along the entire commercial market lane, creating a bottleneck. this is happening at the central bus stop.",Traffic Signals,Medium
The public library building has developed major cracks on the walls and needs immediate structural audit. Needs fix near Green Valley Apartments.,Other,Medium
"Extremely disappointed with municipal services. We requested new street lights for our village road six months ago, but still nothing has been done. Looking forward to a speedy resolution.",Street Lighting,Low
"Very low pressure in the water lines near St. Mary's School, cannot fill our overhead tanks. It is worse over the weekend.",Water Supply,High
The local park is completely dark after 6 PM because none of the internal lights are operational. Please take immediate action.,Street Lighting,High
"our entire locality is suffering. garbage bins are overflowing near st. mary's school, causing a terrible smell for the school children. it has been happening for a long time.",Garbage Collection,High
Why is nothing being done about this? The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop. The concerned department must check this today.,Traffic Signals,High
An emergency situation has arisen. Potholes on the flyover are causing massive traffic jams during peak morning rush hours. The concerned department must check this today.,Roads & Potholes,High
The bus conductors are routinely refusing to issue tickets to students and senior citizens. Please take immediate action.,Public Transport,High
The entire stretch from the railway station to the market is full of deep patches and potholes. Hoping for a quick response.,Roads & Potholes,Medium
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area. It has been happening for a long time.,Other,Medium
Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road. It is worse in this scorching heat.,Roads & Potholes,Medium
This is a recurring problem. Five consecutive street light poles are non-functional in Sunrise Housing Society main lane. The concerned department must check this today.,Street Lighting,Medium
High voltage line has snapped and fallen onto the wet road near the central bus stop. Needs fix along the commercial market lane.,Electricity,Medium
"the commercial market area is flooded with smelly sewer water, customers cannot enter shops. this is happening right outside the railway station.",Sewage & Drainage,Medium
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck. This is happening by the sector 4 intersection.",Traffic Signals,Medium
Garbage bins are overflowing near St. Needs fix near the local children's park.,Garbage Collection,High
"The security guard at the municipal garden is always sleeping, and anti-social elements drink alcohol there. This is happening at the central bus stop.",Parks & Gardens,Low
Illegal hoardings and banners are blocking the view of drivers near the dangerous road curve.,Other,High
Power cut during the night time is making it impossible to sleep in this extreme summer heat.,Electricity,Medium
Both red and green lights are glowing simultaneously at the railway station crossing signal. Needs fix near the local children's park.,Traffic Signals,Medium
"Why is nothing being done about this? Stray cattle are sitting in teh middle of the national highway, causing massive traffic hazards.",Other,Medium
Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. It is worse with the upcoming festival season.,Street Lighting,Medium
The public library building has developed major cracks on the walls and needs immediate structural audit. Needs fix outside the nursing home.,Other,Medium
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. This is happening near the local children's park.",Public Transport,High
"Unmarked speed breakers near the children's park are a major safety hazard, especially at night time. Looking forward to a speedy resolution.",Roads & Potholes,High
Our entire locality is suffering. gargabe truck driver driving very recklessly inside the residential complex lines. Kindly address this on high priority.,Garbage Collection,High
"Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. Needs fix outside the nursing home.",Water Supply,High
gargabe truck driver driving very recklessly inside the residential complex lines. This is happening near the metro station gate.,Garbage Collection,Medium
Urgent attention needed. No door-to-door trash collection in our village for the past one week. Where should we throw our waste?,Garbage Collection,High
Reminder for the authority: There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic. No one is listening to our requests.,Traffic Signals,High
Illegal hoardings and banners are blocking the view of drivers near the dangerous rod curve. Needs fix by the main vegetable market.,Other,High
Please resolve this as soon as possible. No water since last 3 days in our village area. The tankers are charging too much money. It's getting worse day by day.,Water Supply,High
"Contaminated water coming from municipal lines, smells like sewage. Needs fix near the petrol pump.",Water Supply,High
"Chemical smoke coming from a small factory inside the residential zone, making it hard to breathe. Needs fix outside the nursing home.",Other,Medium
The bus conductors are routinely refusing to issue tickets to students and senior citizens.,Public Transport,Medium
"No traffic police or functional signals near the community hospital, causing ambulance delays. Needs fix behind the government office.",Traffic Signals,High
Huge pile of waste collecting near the central bus stop. Dogs and cows are scattering it everywhere. We pay our taxes regularly for this?,Garbage Collection,Medium
The entire stretch from the railway station to the market is full of deep patches and potholes. This is happening by the main vegetable market.,Roads & Potholes,Medium
"No bus connectivity or routes available for our village, we have to walk 3 kilometers to the highway. It is worse which is an emergency situation.",Public Transport,Medium
"Highly frustrated with the current state. Trees are completely blocking the street lights near the library, making the footpath very dark.",Street Lighting,Low
Kindly look into this issue: Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society. Hoping for a quick response.,Sewage & Drainage,High
"Dear authorities, please fix this. Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now!",Water Supply,High
"The road outside the hospital is completely broken, making it extremely dangerous for ambulances. Kindly address this on high priority.",Roads & Potholes,High
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. Needs fix outside the nursing home.",Public Transport,High
"Dear authorities, please fix this. A manhole cover is completely missing on the main road near the railway station. Highly dangerous!",Sewage & Drainage,High
"I want to report that Streetlights are blinking continuously near the community hospital, causing visibility issues for drivers.",Street Lighting,High
No technician has arrived to fix the underground cable fault near the railway station area. Kindly address this on high priority.,Electricity,High
The contractor left the road half-tarred near Green Valley Apartments. Needs fix near the local children's park.,Roads & Potholes,Medium
"Trees are completely blocking the street lights near the library, making the footpath very dark. It has been happening for a long time.",Street Lighting,Low
Writing this out of absolute desperation. The entire stretch from the railway station to the market is full of deep patches and potholes.,Roads & Potholes,Medium
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now! It is worse over the weekend.",Water Supply,High
The power company workers left the high-voltage junction box completely unlocked and open to kids. This needs to be fixed before an accident happens.,Electricity,High
